strategy_id,trade_count_total,trade_count_is,trade_count_oos,active_months,trades_per_month,net_profit_total,net_profit_is,net_profit_oos,win_rate_total,win_rate_is,win_rate_oos,avg_win_total,avg_loss_total,payoff_ratio_total,expectancy_total,expectancy_is,expectancy_oos,profit_factor_total,profit_factor_is,profit_factor_oos,best_candidate_score,proxy_target
XAUUSD_45_2.13.130_BUY_M15,1570.0,985.0,585.0,57.0,27.54385964912281,17637.539999999997,5123.9400000000005,8020.355099999976,0.5477707006369427,0.516751269035533,0.6,93.41005930598597,-92.98114948483938,1.0362476913124132,11.234101910828024,5.201969543147209,14.85090815420142,1.2551732598995429,1.1186857690297858,1.48226537082128,0.9820304535135136,0.899527027027027
XAUUSD_58_5.6.136_BUY_M15,1190.0,757.0,433.0,57.0,20.87719298245614,9992.079999999998,4609.0,5383.08,0.565546218487395,0.5482166446499339,0.5958429561200924,85.03352154531946,-91.3645647969052,0.93070570340198,8.39670588235294,6.088507265521796,12.432055427251733,1.2115375984323649,1.1544464423702652,1.309489450608333,0.9313602714864864,0.8479054054054055
USDJPY_37_0.18430_BUY_M15,1138.0,746.0,392.0,57.0,19.964912280701757,8198.18,4862.039999999999,3336.14,0.5114235500878734,0.5040214477211796,0.5255102040816326,67.90024054982818,-56.3305035971223,1.2053902630704856,7.204024604569421,6.517479892761393,8.510561224489795,1.261757433645724,1.2396718169557297,1.3023640687649998,0.9066172293243244,0.8234459459459459
EURUSD_18_6.6.111_SELL_M15,1535.0,947.0,588.0,57.0,26.92982456140351,8982.460000000001,5807.360000000001,3175.1000000000004,0.4423452768729641,0.426610348468849,0.467687074829932,58.541855670103104,-36.19701176470589,1.617311839182943,5.851765472312704,6.132375923970433,5.39982993197279,1.2919467515355512,1.3032158625269938,1.2733643854015102,0.8793663287837837,0.7985810810810812
USDJPY_39_6.27.190_BUY_M15,1721.1599999999999,1114.0,602.05,57.0,30.195789473684208,18861.01799999998,8508.199699999961,6358.47,0.5518239722061378,0.5727109515260324,0.5138662316476346,90.6469464847849,-82.96847545219639,1.0925468497611794,11.666797000579031,8.60388849726246,10.372707993474714,1.3452159532589196,1.409855792598914,1.2479717774533956,0.8782549383783784,0.8006081081081082
USDCAD_31_3.2.189_BUY_M15,1719.0,1115.8899999999999,598.0,57.0,30.157894736842103,4721.339999999998,2111.79,2609.55,0.491564863292612,0.4763603925066904,0.520066889632107,45.32776331360947,-38.421762013729975,1.179741920670157,2.746561954624781,1.8838447814451384,4.3637959866220735,1.140597165865312,1.0891770445933782,1.2635975655950906,0.8713752575675677,0.7929054054054054
EURUSD_64_4.34.165_BUY_M15,855.0,551.0,304.0,57.0,15.0,824.5000000000002,-3.5,827.9999999999999,0.7403508771929824,0.7223230490018149,0.7730263157894737,11.150394944707742,-28.206787330316747,0.3953089309367487,0.9643274853801173,-0.0063520871143375,2.7236842105263155,1.1322649469817283,0.9992175448793902,1.470294217880268,0.8570307114864865,0.7600675675675675
GBPJPY_65_2.14.157_BUY_M15,680.0,435.0,245.0,57.0,11.929824561403509,3744.01,1814.35,1929.6600000000003,0.538235294117647,0.5448275862068965,0.5265306122448979,47.75513661202185,-43.74003184713376,1.0917947380312938,5.50589705882353,4.170919540229884,7.876163265306124,1.2726015099345656,1.198685686001384,1.4192534236009569,0.8454341202702703,0.7607432432432435
GBPJPY_67_4.19.99_BOTH_M15,929.0,593.0,336.0,57.0,16.29824561403509,2945.41,1476.0799999999997,1469.3300000000002,0.5629709364908504,0.5581787521079258,0.5714285714285714,40.10835564053537,-44.52162962962964,0.900873484959832,3.1705166846071045,2.489173693086003,4.373005952380953,1.1633502040345487,1.1203348322740747,1.2548787299516726,0.8244305094594595,0.7575
GBPUSD_74_6.52.179_SELL_M15,723.0,446.0,277.0,57.0,12.68421052631579,2441.66,1415.1799999999998,1026.48,0.5103734439834025,0.5112107623318386,0.5090252707581228,35.3890514905149,-29.991242937853105,1.1799794881408203,3.377123098201936,3.17304932735426,3.7057039711191337,1.229978618994245,1.203787224238235,1.279504424778761,0.7932163040540541,0.7269594594594594
