strategy_id,trade_count_total,trade_count_is,trade_count_oos,active_months,trades_per_month,net_profit_total,net_profit_is,net_profit_oos,win_rate_total,win_rate_is,win_rate_oos,avg_win_total,avg_loss_total,payoff_ratio_total,expectancy_total,expectancy_is,expectancy_oos,profit_factor_total,profit_factor_is,profit_factor_oos,first_trade_time_utc,last_trade_time_utc
AUDJPY_1_3.14.146_BUY_M15,655,430,225,57,11.491228070175438,491.04000000000013,539.6100000000001,-48.56999999999999,0.3816793893129771,0.39767441860465114,0.3511111111111111,26.11496,-14.9079012345679,1.7517529522831543,0.7496793893129773,1.2549069767441863,-0.21586666666666662,1.081328982890836,1.1336144566380095,0.9757045529577721,2021-07-02T10:58:40+00:00,2026-03-03T07:38:40+00:00
AUDJPY_2_5.20.109_BUY_M15,664,414,250,57,11.649122807017545,1776.0600000000002,1132.8400000000004,643.22,0.5542168674698795,0.5603864734299517,0.544,25.976766304347823,-26.295236486486484,0.9878886739694345,2.674789156626506,2.7363285024154598,2.57288,1.2281859189890265,1.231925003736301,1.221885693785186,2021-07-16T21:59:40+00:00,2026-03-12T16:55:40+00:00
AUDJPY_3_3.19_BUY_M15,621,373,248,55,11.290909090909091,2138.58,1813.32,325.2599999999999,0.5780998389694042,0.6058981233243967,0.5362903225806451,23.895961002785516,-24.580419847328244,0.9721543062000576,3.443768115942029,4.8614477211796245,1.3115322580645157,1.332074030251224,1.4900904601929204,1.1187036969453665,2021-07-05T23:45:00+00:00,2026-03-05T10:32:40+00:00
AUDJPY_46_3.50.181_BUY_M15,572,376,196,57,10.035087719298245,1111.33,440.5700000000001,670.76,0.5611888111888111,0.5425531914893617,0.5969387755102041,20.534143302180684,-21.833187250996016,0.9405014057782118,1.9428846153846153,1.1717287234042557,3.4222448979591835,1.2027926344812987,1.1157956433062093,1.4003557338203785,2021-07-16T21:33:40+00:00,2026-03-11T04:34:40+00:00
AUDJPY_47_6.30.171_BOTH_M15,650,405,245,57,11.403508771929825,968.8,693.3500000000001,275.4500000000001,0.5846153846153846,0.5876543209876544,0.5795918367346938,16.98507894736842,-20.316777777777773,0.8360124392336702,1.4904615384615383,1.7119753086419756,1.1242857142857148,1.1766100996622024,1.2001131381699899,1.1363114502607958,2021-07-20T16:13:40+00:00,2026-03-12T09:10:40+00:00
AUDJPY_56_1.14.109_BUY_M15,684,434,250,57,12.0,2041.93,1483.0300000000002,558.9,0.5657894736842105,0.5691244239631337,0.56,25.541550387596903,-26.406228956228954,0.9672547500036698,2.9852777777777777,3.417119815668203,2.2356,1.2603622500047817,1.294488042001922,1.199131361140703,2021-07-21T09:10:40+00:00,2026-03-12T16:56:40+00:00
AUDJPY_78_3.7.108_BUY_M15,622,370,252,55,11.309090909090909,2197.8099999999995,1797.2999999999997,400.5099999999999,0.5771704180064309,0.6027027027027027,0.5396825396825397,24.18623955431755,-24.657984790874522,0.980868459423677,3.5334565916398706,4.857567567567567,1.5893253968253964,1.3389040948026618,1.485760695356989,1.1438055639335312,2021-07-16T23:45:00+00:00,2026-03-12T17:41:40+00:00
AUDUSD_48_5.8.189_SELL_M15,839,535,304,57,14.719298245614034,1551.6400000000003,1048.14,503.49999999999994,0.6567342073897497,0.6710280373831776,0.631578947368421,17.488929219600728,-28.268391608391607,0.618674364706659,1.8493921334922532,1.959140186915888,1.6562499999999998,1.1919215907460459,1.194855606741698,1.1860886277118676,2021-07-05T23:45:00+00:00,2026-03-05T15:48:40+00:00
AUDUSD_4_3.27.109_SELL_M15,513,335,178,57,9.0,1237.9799999999998,1222.9800000000002,15.0,0.5925925925925926,0.608955223880597,0.5617977528089888,21.79486842105263,-25.902211538461536,0.8414288636586101,2.4132163742690054,3.65068656716418,0.08426966292134831,1.229780646885661,1.34643755523829,1.0080753701211305,2021-07-05T23:45:00+00:00,2026-03-04T23:45:00+00:00
AUDUSD_5_6.3.178_SELL_M15,640,413,227,57,11.228070175438596,578.96,659.46,-80.5,0.5640625,0.5738498789346247,0.5462555066079295,20.570637119113574,-24.7185559566787,0.8321941279727386,0.904625,1.5967554479418886,-0.35462555066079293,1.0845562462027387,1.1505362107771746,0.9673600129749017,2021-07-05T23:45:00+00:00,2026-03-04T23:45:00+00:00
AUDUSD_60_1.31.145_SELL_M15,556,369,187,57,9.75438596491228,861.7,737.1000000000001,124.59999999999997,0.579136690647482,0.5826558265582655,0.5721925133689839,20.28248447204969,-24.22760683760684,0.8371641742413696,1.5498201438848922,1.9975609756097565,0.6663101604278073,1.1519951457509445,1.183734819630287,1.0751734539969835,2021-07-05T23:45:00+00:00,2026-03-11T05:51:40+00:00
AUDUSD_61_6.25.174_SELL_M15,562,354,208,57,9.859649122807017,1036.52,578.1199999999999,458.39999999999986,0.702846975088968,0.692090395480226,0.7211538461538461,12.35898734177215,-23.025628742514964,0.5367491797933959,1.8443416370106762,1.633107344632768,2.203846153846153,1.2695564432239006,1.220288220455879,1.37546072569416,2021-07-06T16:37:00+00:00,2026-03-10T22:35:40+00:00
AUDUSD_6_5.9.126_SELL_M15,752,460,292,57,13.192982456140351,1420.4399999999996,1283.54,136.90000000000006,0.47606382978723405,0.48695652173913045,0.4589041095890411,25.58860335195531,-19.6453807106599,1.3025251955575756,1.8888829787234038,2.790304347826087,0.46883561643835636,1.1835127411411475,1.255269302212729,1.0504774897680764,2021-07-06T17:28:40+00:00,2026-03-05T06:03:40+00:00
EURGBP_10_5.21.111_SELL_M15,472,301,171,57,8.280701754385966,879.2099999999999,948.8600000000001,-69.64999999999995,0.559322033898305,0.6013289036544851,0.4853801169590643,20.246590909090912,-21.470625,0.9429902906455175,1.8627330508474575,3.1523588039867114,-0.4073099415204675,1.1968722919731567,1.3393281812687525,0.9582834211787253,2021-07-06T23:45:00+00:00,2026-03-12T23:45:00+00:00
EURGBP_49_2.36.141_BOTH_M15,1162,740,422,57,20.385964912280702,954.06,267.6399999999998,686.4200000000001,0.7211703958691911,0.7081081081081081,0.7440758293838863,11.189510739856804,-25.996141975308642,0.4304296672361882,0.8210499139414802,0.36167567567567543,1.6265876777251187,1.1132717936540917,1.0462800771219338,1.2600371254309202,2021-07-05T03:19:40+00:00,2026-03-12T07:51:40+00:00
