rank,objective,spearman_score_vs_target,pearson_score_vs_target,top_bucket_target_mean,bottom_bucket_target_mean,top_bottom_spread,complexity_penalty,concentration_penalty,max_weight,weight_entropy,effective_n_features,n_features,features,weights
69,0.7217502752355829,0.9536827919430341,0.9541950472747075,0.766153474903475,0.24446911196911203,0.5216843629343629,0.0,0.008704654100922277,0.46740930820184456,1.2207043595380336,3.031401607126608,4,rank__trades_per_month|rank__win_rate_oos|rank__net_profit_total|rank__expectancy_oos,0.22848918|0.23255783|0.07154369|0.46740931
70,0.7216358284147293,0.9600361355939373,0.9564469997837792,0.7687210424710426,0.26048262548262546,0.5082384169884171,0.015,0.0,0.2777656183645729,1.5176566769275415,4.283325688785015,5,rank__expectancy_oos|rank__profit_factor_oos|rank__avg_loss_total|rank__net_profit_oos|rank__net_profit_total,0.10514759|0.26364353|0.09522097|0.25822230|0.27776562
71,0.7216330278203359,0.9608654764900926,0.9621117013810849,0.7603330115830117,0.24273166023166026,0.5176013513513514,0.045,0.0,0.22561390450522453,1.8914181417618976,6.322730627565056,7,rank__win_rate_is|rank__profit_factor_oos|rank__expectancy_is|rank__net_profit_oos|rank__avg_loss_total|rank__trades_per_month|rank__expectancy_oos,0.08124855|0.08311683|0.15564053|0.22561390|0.15399218|0.13156471|0.16882331
72,0.7213227557554727,0.9560967663372001,0.9551643707335774,0.7652509652509653,0.2453040540540541,0.5199469111969112,0.03,0.0,0.25029088833005536,1.7130827800477046,5.244550994396192,6,rank__payoff_ratio_total|rank__profit_factor_is|rank__expectancy_oos|rank__profit_factor_oos|rank__win_rate_total|rank__trade_count_total,0.18816564|0.06388345|0.15260836|0.22601192|0.11903974|0.25029089
73,0.7209670989586936,0.9622131554463447,0.9597181788073913,0.7612548262548263,0.24956563706563709,0.5116891891891893,0.045,0.0,0.2064392793858146,1.8838998979760349,6.286896471352969,7,rank__net_profit_oos|rank__expectancy_oos|rank__profit_factor_oos|rank__win_rate_oos|rank__avg_win_total|rank__profit_factor_is|rank__active_months,0.14993828|0.18886428|0.20643928|0.13166966|0.06038023|0.09392337|0.16878489
74,0.720964956636283,0.9484994113420641,0.9494696989706182,0.7738272200772202,0.2482625482625483,0.5255646718146718,0.015,0.0,0.36387269512966264,1.2991853339366808,3.296170927069742,5,rank__expectancy_total|rank__active_months|rank__expectancy_oos|rank__net_profit_oos|rank__win_rate_oos,0.02592098|0.36387270|0.22181837|0.34532488|0.04306308
75,0.7205415918232885,0.9603175191122756,0.95921497732895,0.757784749034749,0.2459411196911197,0.5118436293436293,0.0,0.024915748479379135,0.4998314969587583,1.0378776118990798,2.660318861904542,3,rank__net_profit_oos|rank__active_months|rank__profit_factor_oos,0.22795962|0.27220889|0.49983150
76,0.7204914389385126,0.9568964879156354,0.9563462994155124,0.760472972972973,0.24558397683397687,0.5148889961389962,0.015,0.0,0.3094622865806247,1.4995222866532933,4.150771607603838,5,rank__profit_factor_is|rank__trade_count_oos|rank__expectancy_oos|rank__net_profit_oos|rank__trades_per_month,0.13346997|0.07309116|0.30946229|0.29137927|0.19259731
77,0.7203009639035808,0.9589846498148834,0.9517272526465445,0.7581998069498069,0.24388513513513516,0.5143146718146718,0.03,0.0,0.3019115194969565,1.6346532988241467,4.733814429295495,6,rank__profit_factor_oos|rank__expectancy_total|rank__trade_count_total|rank__expectancy_oos|rank__net_profit_oos|rank__win_rate_total,0.20599616|0.12107253|0.02502736|0.13749380|0.30191152|0.20849864
78,0.7202907014550239,0.9567483913270363,0.9534799526109589,0.7636872586872586,0.24823359073359072,0.5154536679536679,0.03,0.0,0.26506050634778033,1.7258525181988813,5.305135390529995,6,rank__expectancy_oos|rank__profit_factor_oos|rank__trade_count_total|rank__net_profit_total|rank__win_rate_total|rank__avg_win_total,0.19858494|0.19790625|0.26506051|0.14390019|0.09884247|0.09570564
79,0.7201832936714343,0.9501580931343745,0.9540743833551121,0.768918918918919,0.24685328185328187,0.5220656370656371,0.015,0.0,0.26566390436589576,1.5626156972613106,4.588238713352081,5,rank__trade_count_total|rank__expectancy_oos|rank__net_profit_oos|rank__trade_count_is|rank__profit_factor_total,0.11746185|0.26566390|0.21080682|0.26086566|0.14520178
80,0.7198996457253595,0.9499211385926158,0.9486732129882324,0.7697393822393822,0.24592664092664093,0.5238127413127412,0.0,0.02950032470082295,0.5090006494016459,0.9560088173106948,2.406490216034736,3,rank__expectancy_total|rank__profit_factor_oos|rank__expectancy_oos,0.11148272|0.50900065|0.37951663
81,0.7198750848633418,0.9576221611997714,0.959760683822575,0.7689189189189188,0.2431467181467182,0.5257722007722007,0.0,0.11433767534863618,0.6786753506972724,0.8112938269725672,1.90720389391966,3,rank__net_profit_oos|rank__trade_count_is|rank__net_profit_is,0.67867535|0.23845304|0.08287161
82,0.7198151644275107,0.9479218346465274,0.951677601389496,0.7689189189189188,0.24685328185328195,0.5220656370656369,0.0,0.0,0.3653231440396903,1.2487913596396396,3.2538048802267423,4,rank__trades_per_month|rank__net_profit_oos|rank__expectancy_oos|rank__expectancy_total,0.36532314|0.22103896|0.34729159|0.06634630
83,0.7197961389048629,0.9540382237556719,0.9603723279527878,0.7603330115830115,0.24542471042471045,0.514908301158301,0.0,0.0,0.3342464519200912,1.3217291013938606,3.5676032031326907,4,rank__expectancy_oos|rank__profit_factor_total|rank__profit_factor_oos|rank__trade_count_is,0.12931777|0.20507210|0.33424645|0.33136368
84,0.7197513255004837,0.9653972321012262,0.9693980438958132,0.7565347490347489,0.24685328185328187,0.5096814671814671,0.0,0.07695739401417098,0.603914788028342,0.9364120855427247,2.237649844101784,3,rank__net_profit_is|rank__trade_count_total|rank__profit_factor_oos,0.15478392|0.24130129|0.60391479
85,0.7193089927899912,0.9568520589390557,0.951803910618587,0.7606853281853283,0.25056467181467185,0.5101206563706564,0.015,0.0,0.33392927587195365,1.4331741103495603,3.906043146158417,5,rank__expectancy_oos|rank__expectancy_is|rank__trade_count_total|rank__profit_factor_oos|rank__win_rate_is,0.27823981|0.02607317|0.15881918|0.33392928|0.20293856
