strategy_id,symbol_mode,side_mode,side_mix,trade_count,buy_trade_count,sell_trade_count,session_preferred_regimes,session_forbidden_regimes,session_regime_dependency_score,session_regime_confidence,volatility_preferred_regimes,volatility_forbidden_regimes,volatility_regime_dependency_score,volatility_regime_confidence,trend_preferred_regimes,trend_forbidden_regimes,trend_regime_dependency_score,trend_regime_confidence,composite_preferred_regimes,composite_forbidden_regimes,composite_regime_dependency_score,composite_regime_confidence
AUDUSD_60_1.31.145_SELL_M15,AUDUSD,,UNKNOWN,556,0,0,NEW_YORK,,0.48940466519670417,1.0,HIGH_VOL|MID_VOL,LOW_VOL|UNKNOWN,0.6099612236105127,1.0,RANGE|UPTREND,UNKNOWN,0.4213740458015267,1.0,ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|DOWNTREND|LONDON|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|DOWNTREND|NEW_YORK|HIGH_VOL|RANGE,ASIA|HIGH_VOL|RANGE|ASIA|LOW_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|ASIA|UNKNOWN|UNKNOWN|LONDON|HIGH_VOL|DOWNTREND|LONDON|UNKNOWN|UNKNOWN,0.17809422005039324,0.6904761904761905
AUDUSD_61_6.25.174_SELL_M15,AUDUSD,,UNKNOWN,562,0,0,LONDON|NEW_YORK,,0.5010033573881835,1.0,HIGH_VOL|LOW_VOL,,0.8180449967197931,1.0,DOWNTREND|UPTREND,RANGE,0.5656995319117321,1.0,LONDON|HIGH_VOL|DOWNTREND|LONDON|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|DOWNTREND|NEW_YORK|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|UPTREND|NY_PM|HIGH_VOL|DOWNTREND|NY_PM|HIGH_VOL|UPTREND,ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|ASIA|MID_VOL|RANGE|LONDON|MID_VOL|RANGE|LONDON|UNKNOWN|UNKNOWN|NY_PM|HIGH_VOL|RANGE|NY_PM|MID_VOL|RANGE|NY_PM|UNKNOWN|UNKNOWN,0.11902800658978581,0.7125
AUDUSD_6_5.9.126_SELL_M15,AUDUSD,,UNKNOWN,752,0,0,NEW_YORK,NY_PM,0.6168699329291345,1.0,LOW_VOL|MID_VOL,,0.560826222860522,1.0,RANGE|UPTREND,UNKNOWN,0.6050577755715507,1.0,ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|RANGE|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|RANGE|LONDON|MID_VOL|UPTREND|NEW_YORK|HIGH_VOL|DOWNTREND,ASIA|HIGH_VOL|DOWNTREND|ASIA|HIGH_VOL|RANGE|ASIA|LOW_VOL|DOWNTREND|ASIA|UNKNOWN|UNKNOWN|LONDON|UNKNOWN|UNKNOWN,0.14261832619371018,0.717948717948718
EURGBP_10_5.21.111_SELL_M15,EURGBP,SELL,SELL,472,0,472,ASIA,LONDON|NY_PM,0.9954746033236317,1.0,LOW_VOL|MID_VOL,HIGH_VOL|UNKNOWN,0.5779530972300491,1.0,DOWNTREND|RANGE,UNKNOWN,0.5130956040577929,1.0,ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|DOWNTREND,ASIA|LOW_VOL|UPTREND,0.2166567293334248,0.6351351351351351
EURGBP_49_2.36.141_BOTH_M15,EURGBP,,UNKNOWN,1162,0,0,LONDON,,0.5199252549051468,0.875,HIGH_VOL|MID_VOL,,0.48295704672662093,1.0,UPTREND,DOWNTREND,0.8809397011685977,1.0,ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|UPTREND|LONDON|HIGH_VOL|RANGE|LONDON|UNKNOWN|UNKNOWN,ASIA|HIGH_VOL|RANGE|ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|RANGE|ASIA|UNKNOWN|UNKNOWN|LONDON|HIGH_VOL|DOWNTREND|LONDON|MID_VOL|RANGE,0.2677569428711426,0.6857142857142857
EURGBP_62_3.31.132_BUY_M15,EURGBP,,UNKNOWN,633,0,0,ASIA,LONDON|NY_PM,0.7135209120205135,1.0,MID_VOL,LOW_VOL|UNKNOWN,0.5027527607166724,1.0,UPTREND,UNKNOWN,0.43750703477995206,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|MID_VOL|DOWNTREND|LONDON|MID_VOL|UPTREND|NEW_YORK|HIGH_VOL|DOWNTREND|NEW_YORK|MID_VOL|DOWNTREND|NEW_YORK|MID_VOL|RANGE,LONDON|HIGH_VOL|DOWNTREND|LONDON|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|RANGE|NEW_YORK|UNKNOWN|UNKNOWN|NY_PM|HIGH_VOL|DOWNTREND|NY_PM|HIGH_VOL|RANGE,0.13797942001870908,0.7435897435897436
EURGBP_63_4.21.189_SELL_M15,EURGBP,,UNKNOWN,850,0,0,NEW_YORK,,0.5679237580056646,1.0,,,0.4362991503151233,1.0,DOWNTREND|RANGE,UPTREND,0.5441619857921692,1.0,ASIA|LOW_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|DOWNTREND|LONDON|HIGH_VOL|UPTREND|LONDON|LOW_VOL|DOWNTREND|LONDON|MID_VOL|DOWNTREND,ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|UPTREND|LONDON|LOW_VOL|RANGE|LONDON|MID_VOL|UPTREND|LONDON|UNKNOWN|UNKNOWN,0.2707316404321834,0.717948717948718
EURGBP_70_2.27.108_SELL_M15,EURGBP,,UNKNOWN,816,0,0,NEW_YORK,LONDON|NY_PM,0.5009301364200082,1.0,LOW_VOL|MID_VOL,HIGH_VOL|UNKNOWN,0.6640858076431311,1.0,DOWNTREND,UNKNOWN|UPTREND,0.7501701837985023,1.0,ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|RANGE|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|DOWNTREND|LONDON|MID_VOL|DOWNTREND|LONDON|MID_VOL|UPTREND|NEW_YORK|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|UPTREND,ASIA|HIGH_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN|LONDON|HIGH_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|MID_VOL|RANGE|LONDON|UNKNOWN|UNKNOWN|NY_PM|HIGH_VOL|RANGE,0.18938825664216266,0.7236842105263158
EURGBP_7_3.16.177_SELL_M15,EURGBP,,UNKNOWN,615,0,0,,LONDON|NY_PM,0.7022034275539728,1.0,,HIGH_VOL|LOW_VOL|UNKNOWN,1.0,1.0,,UNKNOWN|UPTREND,0.7397881996974282,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|MID_VOL|UPTREND|NY_PM|HIGH_VOL|RANGE,ASIA|HIGH_VOL|UPTREND|ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|RANGE|ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|MID_VOL|DOWNTREND|LONDON|UNKNOWN|UNKNOWN,0.19892658880980352,0.7142857142857143
EURGBP_8_6.1.186_SELL_M15,EURGBP,SELL,SELL,646,0,646,ASIA,NEW_YORK|NY_PM,0.8255036017376323,1.0,LOW_VOL|MID_VOL|UNKNOWN,,0.4204415046222506,1.0,RANGE|UNKNOWN,UPTREND,0.5516771850955304,1.0,ASIA|HIGH_VOL|DOWNTREND|ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|DOWNTREND|ASIA|MID_VOL|RANGE|ASIA|UNKNOWN|UNKNOWN|LONDON|HIGH_VOL|DOWNTREND|LONDON|MID_VOL|RANGE|LONDON|UNKNOWN|UNKNOWN,ASIA|LOW_VOL|RANGE|LONDON|HIGH_VOL|UPTREND|LONDON|MID_VOL|DOWNTREND,0.19774845556105644,0.6842105263157895
EURGBP_9_5.2.127_SELL_M15,EURGBP,SELL,SELL,607,0,607,ASIA|LONDON,NEW_YORK|NY_PM|OFF_HOURS,0.8112867689691161,1.0,LOW_VOL|MID_VOL|UNKNOWN,HIGH_VOL,0.4767872490038284,1.0,DOWNTREND|UNKNOWN,,0.4235216773693664,1.0,ASIA|LOW_VOL|DOWNTREND|ASIA|LOW_VOL|RANGE|ASIA|LOW_VOL|UPTREND|ASIA|MID_VOL|RANGE|ASIA|MID_VOL|UPTREND|ASIA|UNKNOWN|UNKNOWN|NEW_YORK|HIGH_VOL|DOWNTREND|NY_PM|HIGH_VOL|RANGE,ASIA|HIGH_VOL|DOWNTREND|ASIA|HIGH_VOL|RANGE|ASIA|HIGH_VOL|UPTREND|NEW_YORK|HIGH_VOL|RANGE|NEW_YORK|HIGH_VOL|UPTREND|NY_PM|HIGH_VOL|UPTREND|NY_PM|UNKNOWN|UNKNOWN,0.1723115273117777,0.6777777777777778
