position_id,symbol,direction,open_time_utc,close_time_utc,entry_price,exit_price,price_delta,volume_in,volume_out,profit_sum,swap_sum,commission_sum,net_sum,magic,comment_last,close_ticket,strategy_id,sample_type,source_file,source_path,environment,symbol_folder,account_type,profile_strategy_id,profile_symbol,profile_side,profile_variant_number,profile_timeframe,profile_base_name,profile_display_name,profile_extended_display_name,profile_exit_label,profile_signal_label,profile_time_label,profile_exit_profile,profile_signal_family,profile_risk_model_type,profile_sl_pips,profile_tp_pips,profile_sl_coef,profile_tp_coef,profile_trailing_coef,profile_match_status,entry_bar_time_utc,exit_bar_time_utc,bars_in_trade_m15,first_bar_open,last_bar_close,highest_high_in_trade,lowest_low_in_trade,mfe_price,mae_price,raw_mfe_abs,raw_mae_abs,mfe_abs,mae_abs,mfe_vs_entry_pct,mae_vs_entry_pct,time_to_mfe_min,time_to_mae_min,realized_abs_move,profit_capture_ratio,bars_positive_close_count,bars_negative_close_count,ohlc_history_start_utc,ohlc_history_end_utc,path_consistency_flag,path_consistency_note,path_data_status,path_data_reason,mfe_to_profile_tp_ratio,mae_to_profile_sl_ratio
666,USDCHF,BUY,2024-07-03 08:00:00+00:00,2024-07-03 17:16:40+00:00,0.90425,0.89875,-0.0054999999999999,0.1,0.1,-61.7,0.0,-0.5,-62.2,,[sl 0.89875],666,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-03 08:00:00+00:00,2024-07-03 17:30:00+00:00,39,0.90421,0.90038,0.90502,0.89852,0.90502,0.89852,0.0007700000000000484,0.005730000000000013,0.0007700000000000484,0.005730000000000013,0.08515344207907641,0.6336743157312704,120.0,555.0,-0.005499999999999949,-7.142857142856628,10,29,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
668,USDCHF,BUY,2024-07-10 16:15:00+00:00,2024-07-10 23:45:00+00:00,0.89886,0.8995,0.0006399999999999,0.1,0.1,6.62,0.0,-0.5,6.12,,Strategy_6_47_153,668,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-10 16:15:00+00:00,2024-07-10 23:45:00+00:00,31,0.89882,0.89953,0.90007,0.89864,0.90007,0.89864,0.0012100000000000444,0.00021999999999999797,0.0012100000000000444,0.00021999999999999797,0.13461495672296514,0.02447544667690163,300.0,0.0,0.0006399999999999739,0.5289256198346698,31,0,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
670,USDCHF,BUY,2024-07-15 02:30:00+00:00,2024-07-15 23:45:00+00:00,0.89674,0.89578,-0.0009599999999999,0.1,0.1,-11.22,0.0,-0.5,-11.72,,Strategy_6_47_153,670,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-15 02:30:00+00:00,2024-07-15 23:45:00+00:00,86,0.89668,0.89574,0.89715,0.8934,0.89715,0.8934,0.00041000000000002146,0.0033400000000000096,0.00041000000000002146,0.0033400000000000096,0.045721167785536664,0.37246024488703633,45.0,645.0,-0.0009599999999999609,-2.3414634146339286,5,81,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
672,USDCHF,BUY,2024-07-16 05:00:00+00:00,2024-07-16 15:52:40+00:00,0.89582,0.89784,0.00202,0.1,0.1,22.0,0.0,-0.5,21.5,,[tp 0.89784],672,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-16 05:00:00+00:00,2024-07-16 16:00:00+00:00,45,0.89578,0.89713,0.89789,0.89449,0.89789,0.89449,0.0020700000000000163,0.0013299999999999423,0.0020700000000000163,0.0013299999999999423,0.23107320667098483,0.14846732602531115,645.0,345.0,0.0020200000000000218,0.9758454106280222,7,38,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
674,USDCHF,BUY,2024-07-22 04:15:00+00:00,2024-07-22 23:45:00+00:00,0.88842,0.88966,0.00124,0.1,0.1,13.44,0.0,-0.5,12.94,,Strategy_6_47_153,674,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-22 04:15:00+00:00,2024-07-22 23:45:00+00:00,79,0.88838,0.88959,0.89022,0.88706,0.89022,0.88706,0.0018000000000000238,0.0013600000000000279,0.0018000000000000238,0.0013600000000000279,0.20260687512663197,0.15308075009567862,870.0,330.0,0.0012400000000000189,0.6888888888888902,49,29,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
676,USDCHF,BUY,2024-07-23 12:00:00+00:00,2024-07-23 23:45:00+00:00,0.89008,0.8912,0.00112,0.1,0.1,12.07,0.0,-0.5,11.57,,Strategy_6_47_153,676,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-23 12:00:00+00:00,2024-07-23 23:45:00+00:00,48,0.89004,0.89132,0.89238,0.89001,0.89238,0.89001,0.0022999999999999687,7.00000000000145e-05,0.0022999999999999687,7.00000000000145e-05,0.2584037389897502,0.007864461621428917,345.0,0.0,0.0011200000000000099,0.48695652173914133,48,0,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
678,USDCHF,BUY,2024-07-29 02:15:00+00:00,2024-07-29 17:40:20+00:00,0.88424,0.88707,0.0028299999999999,0.1,0.1,31.4,0.0,-0.5,30.9,,[tp 0.88707],678,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-07-29 02:15:00+00:00,2024-07-29 17:45:00+00:00,63,0.88415,0.88635,0.88713,0.88199,0.88713,0.88199,0.002889999999999948,0.0022499999999999742,0.002889999999999948,0.0022499999999999742,0.32683434361711167,0.25445580385415434,915.0,180.0,0.002829999999999999,0.9792387543252769,34,29,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
680,USDCHF,BUY,2024-08-07 05:45:00+00:00,2024-08-07 12:40:40+00:00,0.85625,0.86225,0.006,0.1,0.1,69.09,0.0,-0.5,68.59,,[tp 0.86225],680,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-08-07 05:45:00+00:00,2024-08-07 12:45:00+00:00,29,0.85621,0.86303,0.86387,0.85461,0.86387,0.85461,0.007620000000000071,0.0016399999999999748,0.007620000000000071,0.0016399999999999748,0.8899270072992784,0.19153284671532553,420.0,270.0,0.006000000000000005,0.787401574803143,26,3,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
682,USDCHF,BUY,2024-08-08 10:00:00+00:00,2024-08-08 16:35:40+00:00,0.85968,0.8652,0.0055199999999999,0.1,0.1,63.3,0.0,-0.5,62.8,,[tp 0.86520],682,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-08-08 10:00:00+00:00,2024-08-08 16:45:00+00:00,28,0.85962,0.86435,0.8674,0.85595,0.8674,0.85595,0.007719999999999949,0.003730000000000011,0.007719999999999949,0.003730000000000011,0.8980085613251383,0.43388237483715,390.0,315.0,0.005519999999999969,0.7150259067357521,7,21,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
684,USDCHF,BUY,2024-08-13 13:30:00+00:00,2024-08-13 23:45:00+00:00,0.86736,0.86481,-0.00255,0.1,0.1,-29.99,0.0,-0.5,-30.49,,Strategy_6_47_153,684,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-08-13 13:30:00+00:00,2024-08-13 23:45:00+00:00,42,0.86732,0.86469,0.86798,0.86367,0.86798,0.86367,0.0006199999999999539,0.003689999999999971,0.0006199999999999539,0.003689999999999971,0.07148127651724243,0.42542888765910014,105.0,510.0,-0.0025500000000000522,-4.112903225806842,2,40,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
686,USDCHF,BUY,2024-08-15 05:00:00+00:00,2024-08-15 15:30:40+00:00,0.86596,0.86876,0.0028,0.1,0.1,31.73,0.0,-0.5,31.23,,[tp 0.86876],686,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-08-15 05:00:00+00:00,2024-08-15 15:45:00+00:00,44,0.86592,0.87303,0.87375,0.86469,0.87375,0.86469,0.007790000000000075,0.0012699999999999934,0.007790000000000075,0.0012699999999999934,0.8995796572590045,0.14665804425146584,645.0,300.0,0.0028000000000000247,0.35943517329910113,23,21,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
688,USDCHF,BUY,2024-08-23 16:00:00+00:00,2024-08-23 23:45:00+00:00,0.85226,0.84764,-0.00462,0.1,0.1,-55.0,0.0,-0.5,-55.5,,Strategy_6_47_153,688,0.92452,OOS,listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\Data_Center\Data\Trades\Raw\Backtest\DEMO_ACCOUNT\USDCHF\listOfTrades_USDCHF_53_6.47.153_BOTH_M15.csv,DEMO_ACCOUNT,USDCHF,DEMO_ACCOUNT,,,,,,,,,,,,,,,,,,,,not_found,2024-08-23 16:00:00+00:00,2024-08-23 23:45:00+00:00,32,0.85222,0.84766,0.85416,0.84704,0.85416,0.84704,0.0019000000000000128,0.005220000000000002,0.0019000000000000128,0.005220000000000002,0.2229366625208285,0.6124891465045881,45.0,135.0,-0.0046200000000000685,-2.4315789473684406,4,28,2022-01-18 05:30:00+00:00,2026-04-02 19:00:00+00:00,ok,,ok,,,
