trade_date_utc,AUDJPY_1_3.14.146_BUY_M15,AUDJPY_2_5.20.109_BUY_M15,AUDJPY_3_3.19_BUY_M15,AUDJPY_46_3.50.181_BUY_M15,AUDJPY_47_6.30.171_BOTH_M15,AUDJPY_56_1.14.109_BUY_M15,AUDJPY_78_3.7.108_BUY_M15,AUDUSD_48_5.8.189_SELL_M15,AUDUSD_4_3.27.109_SELL_M15,AUDUSD_5_6.3.178_SELL_M15,AUDUSD_60_1.31.145_SELL_M15,AUDUSD_61_6.25.174_SELL_M15,AUDUSD_6_5.9.126_SELL_M15,EURGBP_10_5.21.111_SELL_M15,EURGBP_49_2.36.141_BOTH_M15,EURGBP_62_3.31.132_BUY_M15,EURGBP_63_4.21.189_SELL_M15,EURGBP_70_2.27.108_SELL_M15,EURGBP_7_3.16.177_SELL_M15,EURGBP_8_6.1.186_SELL_M15,EURGBP_9_5.2.127_SELL_M15,EURUSD_11_1.42.105_SELL_M15,EURUSD_12_3.47.124_BUY_M15,EURUSD_13_6.46.178_BUY_M15,EURUSD_14_5.6.167_BUY_M15,EURUSD_18_6.6.111_SELL_M15,EURUSD_59_2.34.129_SELL_M15,EURUSD_64_4.34.165_BUY_M15,EURUSD_71_5.30.159_SELL_M15,EURUSD_72_5.42.127_SELL_M15,EURUSD_73_5.43.181_SELL_M15,GBPJPY_50_5.35.116_BUY_M15,GBPJPY_65_2.14.157_BUY_M15,GBPJPY_66_4.17.131_BOTH_M15,GBPJPY_67_4.19.99_BOTH_M15,GBPUSD_19_0.13205_BUY_M15,GBPUSD_20_1.32.126_BUY_M15,GBPUSD_21_3.3.167_BUY_M15,GBPUSD_22_6.11.100_SELL_M15,GBPUSD_69_3.13.113_BUY_M15,GBPUSD_74_6.52.179_SELL_M15,NZDUSD_23_2.12.147_SELL_M15,NZDUSD_24_4.41.120_SELL_M15,NZDUSD_25_5.7.105_SELL_M15,NZDUSD_26_2.6.180_SELL_M15,NZDUSD_27_6.16.107_SELL_M15,NZDUSD_75_4.73.120_SELL_M15,NZDUSD_76_5.71.164_BUY_M15,US500.cash_28_3.8.114_BUY_M15,US500.cash_29_3.32.156_BUY_M15,USDCAD_30_2.34.141_BUY_M15,USDCAD_31_3.2.189_BUY_M15,USDCAD_32_4.16.175_BUY_M15,USDCAD_33_5.11.180_BUY_M15,USDCAD_34_1.8.187_BUY_M15,USDCAD_51_6.27.122_BUY_M15,USDCAD_77_3.51.113_SELL_M15,USDCHF_35_3.1.133_SELL_M15,USDCHF_36_4.5.112_SELL_M15,USDCHF_52_3.17.186_BOTH_M15,USDCHF_53_6.47.153_BOTH_M15,USDCHF_55_6.23.134_BUY_M15,USDJPY_37_0.18430_BUY_M15,USDJPY_38_1.35.168_BUY_M15,USDJPY_39_6.27.190_BUY_M15,USDJPY_40_2.4.138_BUY_M15,USDJPY_41_2.5.172_BUY_M15,USDJPY_57_4.8.181_BUY_M15,USOIL.cash_42_1.25.121_BUY_M15,USOIL.cash_43_5.11.112_BUY_M15,USOIL.cash_44_6.17.127_BUY_M15,USOIL.cash_54_4.18.190_BOTH_M15,XAUUSD_45_2.13.130_BUY_M15,XAUUSD_58_5.6.136_BUY_M15
2021-07-16 00:00:00+00:00,-19.17,-37.53,-32.34,-32.79,0.0,0.0,-32.34,0.0,0.0,24.0,0.0,0.0,32.5,0.0,4.39,9.8,-24.33,12.83,0.0,0.0,0.0,0.0,-13.4,0.0,9.6,0.0,12.4,8.6,-14.6,10.2,10.2,-87.33,0.0,-70.87,-70.87,0.0,0.0,-28.9,0.0,15.7,54.5,-15.1,6.6,-45.4,0.0,21.9,13.4,0.0,-0.94,0.0,17.57,122.89,25.23,0.0,14.87,22.54,0.0,0.0,17.6,-22.75,0.0,0.0,-77.23,0.0,-15.0,-15.45,0.0,2.73,5.5,-5.3,6.35,6.35,-232.04,-100.52
2021-07-19 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.47,0.0,-34.7,-24.91,0.0,0.0,-8.379999999999999,-36.4,-10.8,0.0,-19.5,0.0,14.7,7.1,12.3,0.0,10.9,0.0,0.0,0.0,0.0,0.0,-23.7,-30.8,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,-23.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,0.0,0.0,15.3,0.0,22.86,-28.41,-187.49,0.0,-371.04999999999995,0.0,0.0,-54.17,0.0,0.0,0.0,0.0,0.0,-100.52
2021-07-20 00:00:00+00:00,0.0,36.14,0.0,0.0,-28.42,0.0,0.0,19.0,0.0,0.0,24.8,0.0,38.0,0.0,-27.02,0.0,0.0,-19.41,-13.14,-17.62,0.0,0.0,-12.7,0.0,-23.6,0.0,0.0,6.8,13.4,14.8,12.0,0.0,0.0,-92.3,-92.3,0.0,-19.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,-0.01,-37.6,-98.53,26.64,0.0,0.0,-32.42,0.0,0.0,19.1,0.0,0.0,-12.18,83.3,0.0,29.14,0.0,0.0,28.31,-11.47,-5.3,0.0,0.0,-74.24,101.48
2021-07-21 00:00:00+00:00,-19.2,40.59,57.93,0.0,-28.3,-40.23,57.93,-53.8,17.9,-22.7,-42.6,-27.9,20.9,0.0,35.11,0.0,15.89,0.0,-13.38,33.16,53.82,0.0,-11.4,0.0,-20.0,0.0,14.8,-24.8,-24.8,12.2,12.2,42.22,0.0,76.07,76.07,0.0,-18.7,0.0,0.0,21.5,29.6,11.9,0.0,31.2,-48.8,0.0,-30.9,14.9,0.0,0.0,0.0,121.8,-101.15,0.0,-28.64,-32.64,0.0,0.0,0.0,6.92,-44.16,0.0,103.81,0.0,179.06,28.56,20.76,31.55,5.5,9.75,0.0,0.0,-232.04,65.47999999999999
2021-07-22 00:00:00+00:00,44.35,31.92,34.58,-32.78,26.21,8.8,34.58,-9.0,-9.4,-22.9,-24.0,12.6,-26.1,33.38,3.25,12.23,13.41,0.0,-11.0,33.38,54.06,0.0,24.5,0.0,0.0,0.0,13.0,-1.4,-21.3,-19.2,-19.4,0.0,39.02,76.08,76.06,0.0,-15.6,0.0,0.0,-18.5,-25.4,13.4,-7.7,-9.4,-1.9,-9.9,0.0,13.9,0.0,0.0,18.47,-99.75999999999999,25.28,0.0,0.0,-32.88,0.0,0.0,0.0,-22.75,0.0,0.0,-97.11,0.0,-51.29,-6.26,0.0,0.0,5.5,9.75,0.0,0.0,70.96000000000001,65.47999999999999
2021-07-23 00:00:00+00:00,3.52,0.0,9.67,17.65,-3.44,4.97,9.67,19.0,0.0,0.0,0.0,0.0,14.8,-15.02,4.37,8.07,-29.98,-17.76,-12.97,-19.01,-35.35,0.0,-14.9,0.0,9.4,0.0,-2.4,6.8,-19.5,-19.5,-19.5,0.0,28.31,0.0,0.0,0.0,0.0,-33.3,-2.8,16.6,29.1,0.0,-8.4,0.0,0.0,-2.0,0.0,-21.0,0.0,0.0,0.0,0.0,21.64,3.14,14.89,14.41,0.0,0.0,14.31,-22.71,15.7,-20.57,87.26,0.0,132.95,19.17,29.3,0.0,4.14,4.87,6.35,6.35,-232.04,-100.52
2021-07-26 00:00:00+00:00,0.0,0.0,3.53,0.0,0.0,-32.17,3.53,0.0,-4.9,-1.2,-4.9,-4.9,-4.9,0.0,3.67,-17.04,15.55,-16.94,0.0,0.0,0.0,0.0,0.0,0.0,9.2,0.0,-26.3,0.0,-16.3,-18.4,-21.6,35.54,16.12,0.0,0.0,0.0,0.0,39.5,-2.6,16.2,-29.1,-8.2,0.0,0.0,0.0,0.0,-2.1,14.7,0.0,0.0,0.0,-32.370000000000005,0.0,-24.94,-28.92,-32.9,12.2,0.0,-31.19,0.0,0.0,0.0,0.0,-6.07,0.0,0.0,-0.09,0.0,0.0,0.0,0.0,0.0,0.0,41.88
2021-07-27 00:00:00+00:00,0.0,0.0,-64.86,-32.77,0.0,-27.67,-64.86,-11.1,0.0,12.3,0.0,16.9,18.2,0.0,3.84,-16.0,21.0,13.67,0.0,33.7,0.0,0.0,0.0,-10.5,-16.6,-99.2,12.1,-21.0,11.1,11.1,9.4,47.5,-91.89,3.83,-13.57,-6.6,0.0,-26.4,-3.9,-9.1,22.5,0.0,6.0,11.0,5.2,20.5,0.0,1.2,0.0,0.0,0.0,0.0,0.0,44.39,14.92,13.4,-16.4,-10.71,12.64,-22.79,0.0,0.0,0.0,0.0,0.0,0.0,-38.44,0.0,0.0,0.0,-6.25,-6.25,-14.44,-20.62
2021-07-28 00:00:00+00:00,0.0,18.47,0.0,0.0,0.0,0.0,0.0,19.0,-13.0,0.0,25.0,0.0,27.3,0.0,3.86,6.09,12.59,0.0,-10.99,-6.01,-6.01,0.0,-12.1,-11.9,9.9,0.0,13.1,6.2,11.7,-18.4,-18.4,37.06,34.94,44.23,44.23,-10.1,-22.6,45.4,-8.3,15.2,36.4,-12.2,-7.6,31.2,29.0,0.0,0.0,-24.0,0.0,0.29,14.87,122.96,-47.39,-24.9,14.87,-32.89,0.0,-10.39,0.0,0.0,0.0,-43.72,0.0,0.0,-63.24,0.0,-28.21,1.09,0.0,0.0,3.3,3.3,91.56,65.47999999999999
2021-07-29 00:00:00+00:00,-19.21,39.69,9.51,-14.52,0.0,-25.76,9.51,-19.2,-15.4,0.0,0.0,14.5,0.0,6.54,-6.03,-6.31,15.03,0.0,11.29,-2.95,6.26,0.0,0.0,0.0,0.0,-144.8,-28.4,0.0,-23.6,-23.1,-20.0,0.0,-10.78,-8.030000000000001,-8.030000000000001,24.8,24.1,46.0,0.0,-16.4,-28.5,-41.9,0.0,-38.7,-41.9,-32.5,-22.7,0.0,0.0,0.0,0.0,-100.05000000000001,-48.0,-8.55,-29.02,-33.17,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.96,101.48
