strategy_id,side_mix,symbol_count,trade_count,baseline_lot,avg_trade_0_1,avg_loss_0_1,p05_trade_0_1,p01_trade_0_1,worst_day_0_1,p05_day_0_1,expected_dd_0_1,stress_dd_0_1,robustness_score,portfolio_fit_score,diversification_score,regime_dependency_score,correlation_penalty,allowed_expected_dd_limit_abs,allowed_stress_dd_limit_abs,allowed_worst_day_limit_abs,allowed_day_p05_limit_abs,recommended_lot_size,max_safe_lot_size,expected_dd_at_recommended_lot,stress_dd_at_recommended_lot,max_loss_per_day_recommendation,recommended_risk_budget,sizing_constraints
AUDJPY_1_3.14.146_BUY_M15,,1,655,0.1,0.7496793893129773,-14.9079012345679,-18.52,-19.2,-19.35,-18.52,-420.52000000000015,-667.9979999999999,0.6000000000000001,0.7142192451279488,0.92825613705338,0.4909890515380504,0.0507573822124981,1020.0,1912.5,650.0,450.0,0.1,0.2,-420.52000000000015,-667.9979999999999,-18.52,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.1, ""max_safe_lot_size"": 0.2, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1020.0, ""max_stress_dd_abs"": 1912.5, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDJPY_2_5.20.109_BUY_M15,,1,664,0.1,2.674789156626506,-26.295236486486484,-45.73,-65.14399999999999,-96.74,-45.73,-661.3599999999998,-783.567999999999,1.0,0.7166291218439946,0.9327898904854718,0.5208051659777775,0.0309793726799387,1200.0,2250.0,650.0,450.0,0.1,0.1,-661.3599999999998,-783.567999999999,-45.73,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.1, ""max_safe_lot_size"": 0.1, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDJPY_3_3.19_BUY_M15,BUY,1,621,0.1,3.443768115942029,-24.580419847328244,-50.45,-55.844,-64.86,-50.45,-394.7700000000009,-636.9345000000001,0.8,0.7106924591881074,0.9209190583243824,0.49203900348768753,0.0489542932918791,1200.0,2250.0,650.0,450.0,0.2,0.3,-789.5400000000018,-1273.8690000000001,-100.9,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.2, ""max_safe_lot_size"": 0.3, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDJPY_46_3.50.181_BUY_M15,,1,572,0.1,1.9428846153846153,-21.833187250996016,-28.4525,-32.7629,-33.08,-28.455,-318.41000000000014,-540.4559999999998,1.0,0.7147751359984116,0.9296003160545796,0.5341445537113079,0.0183694154302234,1200.0,2250.0,650.0,450.0,0.2,0.3,-636.8200000000003,-1080.9119999999996,-56.91,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.2, ""max_safe_lot_size"": 0.3, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDJPY_47_6.30.171_BOTH_M15,,1,650,0.1,1.4904615384615383,-20.316777777777773,-27.0965,-36.227500000000006,-45.1,-27.125999999999998,-223.29999999999984,-501.437,1.0,0.7182163402084283,0.936237916255435,0.5516068508750663,0.0231841789370605,1200.0,2250.0,650.0,450.0,0.3,0.4,-669.8999999999994,-1504.311,-81.37799999999999,LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.3, ""max_safe_lot_size"": 0.4, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDJPY_56_1.14.109_BUY_M15,,1,684,0.1,2.9852777777777777,-26.406228956228954,-49.6155,-59.9751,-110.6,-49.652499999999996,-409.73,-735.3414999999983,1.0,0.7135325416124048,0.9270850450907848,0.6039584931273437,0.0614640895980072,1020.0,2000.0,650.0,450.0,0.1,0.2,-409.73,-735.3414999999983,-49.652499999999996,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.1, ""max_safe_lot_size"": 0.2, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1020.0, ""max_stress_dd_abs"": 2000.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDJPY_78_3.7.108_BUY_M15,BUY,1,622,0.1,3.5334565916398706,-24.657984790874522,-50.427,-55.8387,-64.86,-50.427,-394.7700000000009,-619.9009999999997,0.8,0.7107465365030037,0.9210473225432158,0.4936799791892291,0.0484607615606952,1200.0,2250.0,650.0,450.0,0.2,0.3,-789.5400000000018,-1239.8019999999995,-100.854,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.2, ""max_safe_lot_size"": 0.3, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDUSD_48_5.8.189_SELL_M15,,1,839,0.1,1.8493921334922532,-28.268391608391607,-49.81999999999999,-81.0,-89.17999999999999,-49.89,-353.17999999999995,-759.0599999999993,1.0,0.7078598885750539,0.91571941024896,0.46118670919772575,0.0471870885121609,1200.0,2250.0,650.0,450.0,0.1,0.2,-353.17999999999995,-759.0599999999993,-49.89,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.1, ""max_safe_lot_size"": 0.2, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDUSD_4_3.27.109_SELL_M15,SELL,1,513,0.1,2.4132163742690054,-25.902211538461536,-66.0,-66.0,-66.0,-66.0,-326.8000000000004,-666.8099999999998,0.8,0.7030816833631505,0.9063437532498106,0.4535839506969059,0.0724732777488998,1200.0,2250.0,650.0,450.0,0.2,0.3,-653.6000000000008,-1333.6199999999997,-132.0,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.2, ""max_safe_lot_size"": 0.3, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1200.0, ""max_stress_dd_abs"": 2250.0, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
AUDUSD_5_6.3.178_SELL_M15,SELL,1,640,0.1,0.904625,-24.7185559566787,-61.0,-61.0,-61.0,-61.0,-491.8999999999995,-869.5299999999999,0.6000000000000001,0.7037503207541961,0.9077826718675184,0.5758916800100135,0.074039762888589,1020.0,1912.5,650.0,450.0,0.1,0.2,-491.8999999999995,-869.5299999999999,-61.0,VERY_LOW,"{""baseline_lot"": 0.1, ""recommended_lot_size"": 0.1, ""max_safe_lot_size"": 0.2, ""lot_step"": 0.1, ""max_supported_lot"": 5.0, ""max_expected_dd_abs"": 1020.0, ""max_stress_dd_abs"": 1912.5, ""max_worst_day_abs"": 650.0, ""max_daily_p05_abs"": 450.0}"
