strategy_id,symbol_mode,timeframe_mode,side_mode,trade_count,win_count,loss_count,flat_count,first_trade_time_utc,last_trade_time_utc,active_days,trades_per_day,gross_profit,gross_loss,net_profit,avg_trade,median_trade,std_trade,skew_trade,kurt_trade,p01_trade,p05_trade,p25_trade,p50_trade,p75_trade,p95_trade,p99_trade,avg_win,median_win,max_win,avg_loss,median_loss,max_loss,win_rate,loss_rate,payoff_ratio,profit_factor,expectancy,max_drawdown_abs,max_drawdown_pct,drawdown_count,max_drawdown_duration_trades,avg_drawdown_duration_trades,time_under_water_pct,recovery_count,max_recovery_trades,median_recovery_trades,avg_recovery_trades,equity_slope_per_trade,equity_r2,return_mean_trade_pct,return_median_trade_pct,return_std_trade_pct,sharpe_trade,sortino_trade,avg_holding_time_sec,median_holding_time_sec,p90_holding_time_sec,max_holding_time_sec,avg_mfe_abs,median_mfe_abs,p90_mfe_abs,avg_mae_abs,median_mae_abs,p90_mae_abs,avg_profit_capture_ratio,median_profit_capture_ratio,avg_time_to_mfe_min,avg_time_to_mae_min,max_win_streak,max_loss_streak,avg_win_streak,avg_loss_streak,top_1_trade_share_of_profit,top_5_trades_share_of_profit,top_10_trades_share_of_profit,valid_path_ratio,monthly_net_mean,monthly_net_median,monthly_positive_ratio,best_month_net,worst_month_net,weekly_net_mean,weekly_net_median,weekly_positive_ratio,best_week_net,worst_week_net,segment_sample_types,segment_account_types,sample_IS__trade_count,sample_IS__net_profit,sample_IS__avg_trade,sample_IS__median_trade,sample_IS__win_rate,sample_IS__profit_factor,sample_IS__avg_mfe_abs,sample_IS__avg_mae_abs,sample_OOS__trade_count,sample_OOS__net_profit,sample_OOS__avg_trade,sample_OOS__median_trade,sample_OOS__win_rate,sample_OOS__profit_factor,sample_OOS__avg_mfe_abs,sample_OOS__avg_mae_abs,account_DEMO_ACCOUNT__trade_count,account_DEMO_ACCOUNT__net_profit,account_DEMO_ACCOUNT__avg_trade,account_DEMO_ACCOUNT__median_trade,account_DEMO_ACCOUNT__win_rate,account_DEMO_ACCOUNT__profit_factor,account_DEMO_ACCOUNT__avg_mfe_abs,account_DEMO_ACCOUNT__avg_mae_abs,account_LIVE_ACCOUNT__trade_count,account_LIVE_ACCOUNT__net_profit,account_LIVE_ACCOUNT__avg_trade,account_LIVE_ACCOUNT__median_trade,account_LIVE_ACCOUNT__win_rate,account_LIVE_ACCOUNT__profit_factor,account_LIVE_ACCOUNT__avg_mfe_abs,account_LIVE_ACCOUNT__avg_mae_abs
AUDJPY_1_3.14.146_BUY_M15,AUDJPY,,,655,250,405,0,2021-07-02T10:58:40+00:00,2026-03-03T07:38:40+00:00,1706,0.3839390386869871,6528.74,-6037.7,491.04000000000013,0.7496793893129773,-13.97,21.480268772367285,0.7830488853134444,-1.092942571427551,-19.2,-18.52,-14.98,-13.97,21.695,37.08299999999998,43.96180000000001,26.11496,31.955000000000002,44.64,-14.9079012345679,-14.78,-19.35,0.3816793893129771,0.6183206106870229,1.7517529522831543,1.081328982890836,0.7496793893129773,-420.5199999999895,-0.004182219540071113,14,352,44.785714285714285,0.9572519083969465,14,352,3.5,44.785714285714285,0.6978576990941717,0.4970477030509801,7.501365322826975e-06,-0.00013910418893794103,0.0002141368208050007,0.035030712114933,0.26821210832119546,23735.53893129771,17800.0,65462.400000000016,68706.0,0.25307867132867107,0.1940000000000026,0.5679999999999978,0.22106118881118908,0.2150000000000034,0.36480000000000806,-3.171225794899295,-0.7067137809187348,240.5506993006993,197.1765734265734,6,14,1.7123287671232876,2.7551020408163267,0.006837460214375209,0.03406017087523779,0.06753217312988417,0.8732824427480916,8.614736842105264,-3.8700000000000045,0.45614035087719296,202.98,-167.19000000000003,2.0207407407407407,-4.470000000000001,0.4732510288065844,124.9,-76.57,IS|OOS,DEMO_ACCOUNT,430,539.6100000000001,1.2549069767441863,-14.379999999999999,0.39767441860465114,1.1336144566380095,0.255095100864553,0.21912680115273814,225,-48.56999999999999,-0.21586666666666662,-13.8,0.3511111111111111,0.9757045529577721,0.24996888888888869,0.22404444444444455,655,491.04000000000013,0.7496793893129773,-13.97,0.3816793893129771,1.081328982890836,0.25307867132867107,0.22106118881118908,,,,,,,,
AUDJPY_2_5.20.109_BUY_M15,AUDJPY,,,664,368,296,0,2021-07-16T21:59:40+00:00,2026-03-12T16:55:40+00:00,1701,0.3903586125808348,9559.449999999999,-7783.389999999999,1776.0600000000002,2.674789156626506,3.615,32.1386392569569,0.18849292075474394,0.6495375484929093,-65.14399999999999,-45.73,-23.8675,3.615,25.997500000000002,50.717,73.45880000000001,25.976766304347823,23.064999999999998,157.95,-26.295236486486484,-26.39,-96.74,0.5542168674698795,0.4457831325301205,0.9878886739694345,1.2281859189890265,2.674789156626506,-661.3600000000006,-0.006520087599628612,35,256,16.65714285714286,0.8780120481927711,35,256,6.0,16.65714285714286,1.7944864480887206,0.6841639297191491,2.65640714877817e-05,3.600978879841879e-05,0.00031831396987959534,0.08345242119857246,0.15349887660064834,38989.41265060241,35100.0,72900.0,84600.0,0.3529553264604806,0.29299999999999926,0.7360000000000028,0.34466838487972484,0.2875000000000014,0.7157000000000067,-3.2893566280950663,0.3846153846151603,362.9020618556701,298.2886597938144,9,8,2.2035928143712575,1.7619047619047619,0.016522917113432255,0.05792069627436724,0.09580572104043641,0.8765060240963856,31.15894736842106,23.840000000000003,0.631578947368421,350.37,-237.06,7.525677966101695,5.685000000000003,0.5423728813559322,211.82999999999998,-136.15,IS|OOS,DEMO_ACCOUNT,414,1132.8400000000004,2.7363285024154598,3.81,0.5603864734299517,1.231925003736301,0.340259036144578,0.3330813253012045,250,643.22,2.57288,2.845,0.544,1.221885693785186,0.3698159999999994,0.360056,664,1776.0600000000002,2.674789156626506,3.615,0.5542168674698795,1.2281859189890265,0.3529553264604806,0.34466838487972484,,,,,,,,
AUDJPY_3_3.19_BUY_M15,AUDJPY,M15,BUY,621,359,262,0,2021-07-05T23:45:00+00:00,2026-03-05T10:32:40+00:00,1705,0.36422287390029323,8578.65,-6440.07,2138.58,3.443768115942029,3.71,30.2731548113178,-0.24333466848246546,-0.6514598877475031,-55.844,-50.45,-13.9,3.71,24.18,47.93,55.928,23.895961002785516,20.08,58.28,-24.580419847328244,-18.85,-64.86,0.5780998389694042,0.4219001610305958,0.9721543062000576,1.332074030251224,3.443768115942029,-394.7699999999895,-0.0038623354346894755,46,120,11.195652173913043,0.8293075684380032,46,120,3.0,11.195652173913043,3.5597989359051305,0.904490156908828,3.411974645195061e-05,3.6440567840305054e-05,0.00029875551662398117,0.11420624742770627,0.17813335251200574,43286.57004830918,31500.0,81900.0,160500.0,0.32685191956124315,0.2560000000000002,0.7117999999999968,0.3165667276051187,0.2229999999999989,0.7263999999999954,-3.224237359530636,0.46793300653598474,381.4853747714808,287.09780621572213,9,9,2.34640522875817,1.7124183006535947,0.006793609717146638,0.03364515395779056,0.06618990167450589,0.8808373590982287,38.88327272727272,46.03,0.6909090909090909,236.33,-159.73999999999998,9.298173913043478,5.119999999999998,0.5608695652173913,171.62,-116.77000000000001,IS|OOS,DEMO_ACCOUNT,373,1813.32,4.8614477211796245,4.4,0.6058981233243967,1.4900904601929204,0.34007692307692294,0.3071839464882941,248,325.2599999999999,1.3115322580645157,2.785,0.5362903225806451,1.1187036969453665,0.31090725806451625,0.32787903225806453,621,2138.58,3.443768115942029,3.71,0.5780998389694042,1.332074030251224,0.32685191956124315,0.3165667276051187,,,,,,,,
AUDJPY_46_3.50.181_BUY_M15,AUDJPY,,,572,321,251,0,2021-07-16T21:33:40+00:00,2026-03-11T04:34:40+00:00,1700,0.33647058823529413,6591.46,-5480.13,1111.33,1.9428846153846153,6.905,23.323870086941994,0.023132950972167766,-1.1379808667104379,-32.7629,-28.4525,-24.47,6.905,20.86,34.21199999999999,46.54309999999999,20.534143302180684,20.1,87.59,-21.833187250996016,-24.81,-33.08,0.5611888111888111,0.4388111888111888,0.9405014057782118,1.2027926344812987,1.9428846153846153,-318.4100000000035,-0.00316732111638598,25,238,20.36,0.8898601398601399,25,238,4.0,20.36,1.3034399581863088,0.7722135161951499,1.9348806420327256e-05,6.89850588431103e-05,0.00023232496524070272,0.08328337163541905,0.22409383245703932,25460.094405594406,22500.0,50400.0,241506.0,0.2791351888667995,0.2590000000000003,0.533800000000005,0.25850894632206756,0.2310000000000087,0.4797999999999916,-5.466862338295037,0.5819368679931316,247.99204771371768,212.74353876739562,9,7,2.168918918918919,1.695945945945946,0.013288406513883116,0.04509471346257127,0.0798715307382583,0.8793706293706294,19.49701754385965,21.910000000000004,0.6140350877192983,206.25,-168.8,4.831869565217391,3.0299999999999994,0.5347826086956522,136.01,-102.31,IS|OOS,DEMO_ACCOUNT,376,440.5700000000001,1.1717287234042557,6.105,0.5425531914893617,1.1157956433062093,0.26315309446254076,0.2647687296416941,196,670.76,3.4222448979591835,7.920000000000001,0.5969387755102041,1.4003557338203785,0.3041683673469395,0.24870408163265245,572,1111.33,1.9428846153846153,6.905,0.5611888111888111,1.2027926344812987,0.2791351888667995,0.25850894632206756,,,,,,,,
AUDJPY_47_6.30.171_BOTH_M15,AUDJPY,,,650,380,270,0,2021-07-20T16:13:40+00:00,2026-03-12T09:10:40+00:00,1697,0.3830288744843842,6454.33,-5485.529999999999,968.8,1.4904615384615383,8.105,19.635603706393727,-0.33330811517824366,-1.5256808789041634,-36.227500000000006,-27.0965,-20.93,8.105,19.38,24.861,26.235500000000002,16.98507894736842,19.06,38.09,-20.316777777777773,-21.28,-45.1,0.5846153846153846,0.4153846153846154,0.8360124392336702,1.1766100996622024,1.4904615384615383,-223.3000000000029,-0.0022181558790418925,37,113,15.567567567567568,0.8861538461538462,37,113,4.0,15.567567567567568,1.3653760579499008,0.8969800687173117,1.4852040577169796e-05,8.045447919137572e-05,0.00019534079211294632,0.07603143417470287,0.20119389324835069,22481.027692307693,16660.0,52756.00000000002,129900.0,0.2448350515463919,0.257000000000005,0.420900000000006,0.2357852233676976,0.2030000000000029,0.4447999999999936,-3.5072634887405,0.6024315006350821,244.17525773195877,185.48969072164948,7,7,2.4516129032258065,1.7307692307692308,0.005901464598184475,0.02221454434464925,0.04242888107673454,0.8953846153846153,16.996491228070177,23.460000000000022,0.5614035087719298,134.68,-125.33,4.140170940170941,-0.8600000000000008,0.49145299145299143,102.12,-96.53999999999999,IS|OOS,DEMO_ACCOUNT,405,693.3500000000001,1.7119753086419756,8.2,0.5876543209876544,1.2001131381699899,0.2455637982195847,0.23330860534124603,245,275.4500000000001,1.1242857142857148,7.699999999999999,0.5795918367346938,1.1363114502607958,0.24383265306122462,0.23919183673469424,650,968.8,1.4904615384615383,8.105,0.5846153846153846,1.1766100996622024,0.2448350515463919,0.2357852233676976,,,,,,,,
AUDJPY_56_1.14.109_BUY_M15,AUDJPY,,,684,387,297,0,2021-07-21T09:10:40+00:00,2026-03-12T16:56:40+00:00,1696,0.4033018867924528,9884.580000000002,-7842.65,2041.93,2.9852777777777777,4.9350000000000005,31.388038737146363,-0.14061612409275692,-0.5664414515888918,-59.9751,-49.6155,-22.545,4.9350000000000005,26.4925,52.476000000000006,64.12379999999987,25.541550387596903,22.61,86.55,-26.406228956228954,-27.22,-110.6,0.5657894736842105,0.4342105263157895,0.9672547500036698,1.2603622500047817,2.9852777777777777,-409.7299999999959,-0.004017778126432543,35,188,16.97142857142857,0.868421052631579,35,188,4.0,16.97142857142857,3.0255870909171843,0.8198115005469392,2.9600608883347805e-05,4.9019400777188264e-05,0.000310370166326292,0.09537195289649296,0.16579303689924302,41980.59941520468,34200.0,75600.0,248706.0,0.34797034596375587,0.2980000000000018,0.7390000000000013,0.32674464579901163,0.2630000000000052,0.701399999999998,-3.908679891512859,0.4301075268817234,384.1186161449753,292.51235584843494,10,11,2.4339622641509435,1.85625,0.008756062473064105,0.0375878388358433,0.07039246988744084,0.8874269005847953,35.82333333333334,23.16000000000001,0.6842105263157895,421.55999999999995,-201.24,8.83952380952381,5.129999999999999,0.5367965367965368,190.98,-160.93,IS|OOS,DEMO_ACCOUNT,434,1483.0300000000002,3.417119815668203,5.02,0.5691244239631337,1.294488042001922,0.3461652661064422,0.31777591036414543,250,558.9,2.2356,4.615,0.56,1.199131361140703,0.35054799999999975,0.3395520000000005,684,2041.93,2.9852777777777777,4.9350000000000005,0.5657894736842105,1.2603622500047817,0.34797034596375587,0.32674464579901163,,,,,,,,
AUDJPY_78_3.7.108_BUY_M15,AUDJPY,M15,BUY,622,359,263,0,2021-07-16T23:45:00+00:00,2026-03-12T17:41:40+00:00,1701,0.36566725455614346,8682.86,-6485.049999999999,2197.8099999999995,3.5334565916398706,3.9,30.414241834874367,-0.24657435577260942,-0.6751892893253193,-55.8387,-50.427,-14.004999999999999,3.9,24.645000000000003,47.92499999999999,55.9279,24.18623955431755,20.41,58.28,-24.657984790874522,-19.09,-64.86,0.5771704180064309,0.4228295819935691,0.980868459423677,1.3389040948026618,3.5334565916398706,-394.7700000000041,-0.003862940896035586,46,120,11.23913043478261,0.8311897106109325,46,120,3.0,11.23913043478261,3.5241306119340985,0.9028357009639673,3.4997458141048424e-05,3.822039444403196e-05,0.0003001645986336996,0.11659422297083387,0.1826659518617976,43157.39549839228,31210.0,81809.99999999999,160500.0,0.3286950998185118,0.2620000000000004,0.7129999999999939,0.3165009074410162,0.2229999999999989,0.7269999999999897,-3.2002861266648277,0.47187463454570044,380.975499092559,287.4092558983666,9,9,2.34640522875817,1.7077922077922079,0.0067120741322559616,0.03324135135197388,0.0653955033249413,0.8858520900321544,39.960181818181816,46.73999999999998,0.7090909090909091,236.33,-159.73999999999998,9.555695652173911,5.67,0.5608695652173913,171.62,-116.77000000000001,IS|OOS,DEMO_ACCOUNT,370,1797.2999999999997,4.857567567567567,4.405,0.6027027027027027,1.485760695356989,0.34007692307692294,0.3071839464882941,252,400.5099999999999,1.5893253968253964,3.005,0.5396825396825397,1.1438055639335312,0.3151904761904764,0.3275555555555556,622,2197.8099999999995,3.5334565916398706,3.9,0.5771704180064309,1.3389040948026618,0.3286950998185118,0.3165009074410162,,,,,,,,
AUDUSD_48_5.8.189_SELL_M15,AUDUSD,,,839,551,286,2,2021-07-05T23:45:00+00:00,2026-03-05T15:48:40+00:00,1705,0.49208211143695013,9636.400000000001,-8084.759999999999,1551.6400000000003,1.8493921334922532,19.0,25.68358422796038,-1.549955000518401,1.7212453939973775,-81.0,-49.81999999999999,-11.05,19.0,19.0,19.0,19.0,17.488929219600728,19.0,19.0,-28.268391608391607,-22.1,-81.0,0.6567342073897497,0.34088200238379024,0.618674364706659,1.1919215907460459,1.8493921334922532,-353.18000000000757,-0.0035264644592731954,41,116,17.5609756097561,0.8581644815256257,41,116,6.0,17.5609756097561,2.2313596097509456,0.9066101234302273,1.838461562481001e-05,0.00018774306551225101,0.00025522202272723523,0.07203381365117655,0.08114995387857678,37290.82479141835,38740.0,71100.0,252306.0,0.0020016323731138065,0.0021499999999999,0.0031099999999999,0.0021987242798353424,0.0014999999999999,0.005187999999999844,-3.03848001239093,0.6493506493506559,347.9218106995885,308.90946502057614,16,9,3.010928961748634,1.5714285714285714,0.0019716906728653853,0.009858453364326928,0.019716906728653855,0.8688915375446961,27.221754385964918,26.39999999999999,0.543859649122807,219.3,-242.09999999999997,6.385349794238683,9.3,0.6008230452674898,95.0,-172.5,IS|OOS,DEMO_ACCOUNT,535,1048.14,1.959140186915888,19.0,0.6710280373831776,1.194855606741698,0.0020931764705881865,0.0023260235294117163,304,503.49999999999994,1.6562499999999998,19.0,0.631578947368421,1.1860886277118676,0.0018736513157894274,0.00202075657894732,839,1551.6400000000003,1.8493921334922532,19.0,0.6567342073897497,1.1919215907460459,0.0020016323731138065,0.0021987242798353424,,,,,,,,
AUDUSD_4_3.27.109_SELL_M15,AUDUSD,M15,SELL,513,304,208,1,2021-07-05T23:45:00+00:00,2026-03-04T23:45:00+00:00,1704,0.301056338028169,6625.639999999999,-5387.66,1237.9799999999998,2.4132163742690054,9.2,28.727323189648978,-0.743749015265007,0.15860382251575045,-66.0,-66.0,-13.8,9.2,22.7,38.739999999999995,51.20799999999999,21.79486842105263,20.85,86.4,-25.902211538461536,-18.75,-66.0,0.5925925925925926,0.40545808966861596,0.8414288636586101,1.229780646885661,2.4132163742690054,-326.8000000000029,-0.0032188044367496347,35,88,12.657142857142857,0.8635477582846004,35,88,4.0,12.657142857142857,3.457275263740642,0.85440044728441,2.4024844070266256e-05,9.079570394205338e-05,0.00028503107034204994,0.08428850946472388,0.113372710175254,37926.43274853801,33220.0,72000.0,201906.0,0.0022971651785713837,0.0021049999999999004,0.0042989999999999,0.0021633928571428095,0.0014449999999999,0.005394999999999971,-3.816624530766164,0.521739130434769,343.05691964285717,314.6640625,11,6,2.5546218487394956,1.7333333333333334,0.01304024969663308,0.04748220549260147,0.08501820201520154,0.8732943469785575,21.718947368421055,26.7,0.6140350877192983,247.39999999999998,-180.8,5.551479820627803,8.499999999999998,0.5695067264573991,165.89999999999998,-180.3,IS|OOS,DEMO_ACCOUNT,335,1222.9800000000002,3.65068656716418,13.2,0.608955223880597,1.34643755523829,0.0025065185185184765,0.002240481481481432,178,15.0,0.08426966292134831,4.35,0.5617977528089888,1.0080753701211305,0.0019796067415729836,0.002046460674157258,513,1237.9799999999998,2.4132163742690054,9.2,0.5925925925925926,1.229780646885661,0.0022971651785713837,0.0021633928571428095,,,,,,,,
AUDUSD_5_6.3.178_SELL_M15,AUDUSD,M15,SELL,640,361,277,2,2021-07-05T23:45:00+00:00,2026-03-04T23:45:00+00:00,1704,0.3755868544600939,7426.0,-6847.04,578.96,0.904625,8.25,26.457769034239654,-0.9322460254575865,-0.1605203081360531,-61.0,-61.0,-15.325000000000001,8.25,24.0,24.0,24.0,20.570637119113574,24.0,24.0,-24.7185559566787,-18.8,-61.0,0.5640625,0.4328125,0.8321941279727386,1.0845562462027387,0.904625,-491.8999999999942,-0.004868019182311269,26,163,22.23076923076923,0.903125,26,163,7.0,22.23076923076923,2.0843762556490093,0.8759407695221674,9.054904918140482e-06,8.202057001426774e-05,0.0002636270879131641,0.034347399540077116,0.04586376907257089,36441.659375,32360.0,70200.0,198306.0,0.0021028392857142322,0.0021999999999999503,0.0035209999999999903,0.0021447857142856655,0.00151499999999995,0.005129999999999911,-3.1941535498316878,0.4914524529569956,327.80267857142854,310.6330357142857,11,8,2.439189189189189,1.8466666666666667,0.0032318879612173446,0.016159439806086723,0.032318879612173446,0.875,10.15719298245614,9.200000000000003,0.543859649122807,179.6,-178.5,2.4955172413793094,7.85,0.5689655172413793,120.0,-157.8,IS|OOS,DEMO_ACCOUNT,413,659.46,1.5967554479418886,12.5,0.5738498789346247,1.1505362107771746,0.002219459459459405,0.002206036036035989,227,-80.5,-0.35462555066079293,2.8,0.5462555066079295,0.9673600129749017,0.0019317621145373944,0.002054933920704795,640,578.96,0.904625,8.25,0.5640625,1.0845562462027387,0.0021028392857142322,0.0021447857142856655,,,,,,,,
