Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss,Cummulative P/L,Comm/Swap,P/L in money,Cummulative money P/L,P/L in pips,Cummulative pips P/L,P/L in %,Cummulative % P/L,Comment,Sample type
2,AUDUSD,Sell,05.07.2021 09:45:00,0.75251,0.1,05.07.2021 23:45:00,0.7532,14h 0m,-7.4,-7.4,-0.5,-7.4,-7.4,-6.9,-6.9,-0.07,-0.07,Strategy 3.16.135,IS
4,AUDUSD,Sell,06.07.2021 05:15:00,0.75556,0.1,06.07.2021 09:00:40,0.75845,3h 45m,-29.4,-36.8,-0.5,-29.4,-36.8,-28.9,-35.8,-0.29,-0.37,sl 0.75845,IS
6,AUDUSD,Sell,07.07.2021 08:45:00,0.7505,0.1,07.07.2021 15:03:40,0.75322,6h 18m,-27.7,-64.5,-0.5,-27.7,-64.5,-27.2,-63,-0.28,-0.65,sl 0.75322,IS
8,AUDUSD,Sell,08.07.2021 16:30:00,0.7444,0.1,08.07.2021 23:45:00,0.74355,7h 15m,8,-56.5,-0.5,8,-56.5,8.5,-54.5,0.08,-0.57,Strategy 3.16.135,IS
10,AUDUSD,Sell,09.07.2021 02:45:00,0.74354,0.1,09.07.2021 04:45:00,0.74131,2h 0m,21.8,-34.7,-0.5,21.8,-34.7,22.3,-32.2,0.22,-0.35,tp 0.74131,IS
12,AUDUSD,Sell,14.07.2021 04:10:00,0.74485,0.1,14.07.2021 09:34:40,0.74757,5h 24m,-27.7,-62.4,-0.5,-27.7,-62.4,-27.2,-59.4,-0.28,-0.62,sl 0.74757,IS
14,AUDUSD,Sell,20.07.2021 05:30:00,0.73533,0.1,20.07.2021 06:36:40,0.73275,1h 6m,25.3,-37.1,-0.5,25.3,-37.1,25.8,-33.6,0.25,-0.37,tp 0.73275,IS
16,AUDUSD,Sell,21.07.2021 12:00:00,0.73196,0.1,21.07.2021 18:46:20,0.73612,6h 46m,-42.1,-79.2,-0.5,-42.1,-79.2,-41.6,-75.2,-0.42,-0.79,sl 0.73612,IS
18,AUDUSD,Sell,22.07.2021 07:30:00,0.73615,0.1,22.07.2021 10:26:40,0.73845,2h 56m,-23.5,-102.7,-0.5,-23.5,-102.7,-23,-98.2,-0.24,-1.03,sl 0.73845,IS
20,AUDUSD,Sell,26.07.2021 16:45:00,0.73773,0.1,26.07.2021 23:45:00,0.73812,7h 0m,-4.4,-107.1,-0.5,-4.4,-107.1,-3.9,-102.1,-0.04,-1.07,Strategy 3.16.135,IS
22,AUDUSD,Sell,28.07.2021 19:15:00,0.73526,0.1,28.07.2021 21:00:40,0.73266,1h 45m,25.5,-81.6,-0.5,25.5,-81.6,26,-76.1,0.26,-0.82,tp 0.73266,IS
24,AUDUSD,Sell,10.08.2021 09:30:00,0.73324,0.1,10.08.2021 17:22:20,0.73559,7h 52m,-24,-105.6,-0.5,-24,-105.6,-23.5,-99.6,-0.24,-1.06,sl 0.73559,IS
26,AUDUSD,Sell,13.08.2021 02:30:00,0.73425,0.1,13.08.2021 15:59:40,0.73594,13h 29m,-17.4,-123,-0.5,-17.4,-123,-16.9,-116.5,-0.18,-1.23,sl 0.73594,IS
28,AUDUSD,Sell,18.08.2021 02:15:30,0.72573,0.1,18.08.2021 17:40:20,0.72393,15h 24m,17.5,-105.5,-0.5,17.5,-105.5,18,-98.5,0.18,-1.06,tp 0.72393,IS
30,AUDUSD,Sell,20.08.2021 03:15:00,0.71518,0.1,20.08.2021 04:46:40,0.71319,1h 31m,19.4,-86.1,-0.5,19.4,-86.1,19.9,-78.6,0.2,-0.86,tp 0.71319,IS
32,AUDUSD,Sell,23.08.2021 03:45:00,0.71525,0.1,23.08.2021 15:31:40,0.71913,11h 46m,-39.3,-125.4,-0.5,-39.3,-125.4,-38.8,-117.4,-0.4,-1.26,sl 0.71913,IS
34,AUDUSD,Sell,24.08.2021 06:00:00,0.7221,0.1,24.08.2021 13:24:40,0.72457,7h 24m,-25.2,-150.6,-0.5,-25.2,-150.6,-24.7,-142.1,-0.26,-1.51,sl 0.72457,IS
36,AUDUSD,Sell,25.08.2021 10:30:00,0.72475,0.1,25.08.2021 21:11:40,0.72756,10h 41m,-28.6,-179.2,-0.5,-28.6,-179.2,-28.1,-170.2,-0.29,-1.8,sl 0.72756,IS
