Date	ActualValue	ForecastValue	PreviousValue
2026.03.06	-0.2	-0.3	0.0
2026.02.10	0.0	0.1	0.6
2026.01.14	0.6	1.1	-0.1
2025.12.16	0.0	-0.1	0.1
2025.11.25	0.2	-0.2	0.6
2025.09.16	0.6	-0.3	0.6
2025.08.15	0.5	0.8	0.9
2025.07.17	0.6	0.1	-0.9
2025.06.17	-0.9	-0.3	-0.1
2025.05.15	0.1	0.6	1.7
2025.04.16	1.4	0.3	0.2
2025.03.17	0.2	-0.2	-1.2
2025.02.14	-0.9	0.5	0.7
2025.01.16	0.4	0.5	0.8
2024.12.17	0.7	-0.2	0.5
2024.11.15	0.4	0.0	0.8
2024.10.17	0.4	0.4	0.1
2024.09.17	0.1	0.9	1.1
2024.08.15	1.0	0.1	-0.2
2024.07.16	0.0	0.4	0.3
2024.06.18	0.1	-0.4	-0.2
2024.05.15	0.0	0.1	0.6
2024.04.15	0.7	0.2	0.9
2024.03.14	0.6	-0.2	-1.1
2024.02.15	-0.8	1.1	0.4
2024.01.17	0.6	-0.3	0.3
2023.12.14	0.3	0.0	-0.2
2023.11.15	-0.1	0.0	0.9
2023.10.17	0.7	0.0	0.8
2023.09.14	0.6	0.0	0.5
2023.08.15	0.7	0.0	0.3
2023.07.18	0.2	0.0	0.5
2023.06.15	0.3	-0.1	0.4
2023.05.16	0.4	0.1	-0.7
2023.04.14	-1.0	0.1	-0.2
2023.03.15	-0.4	-0.1	3.2
2023.02.15	3.0	0.1	-1.1
2023.01.18	-1.1	0.1	-1.0
2022.12.15	-0.6	-0.3	1.3
2022.11.16	1.3	0.0	0.0
2022.10.14	0.0	0.5	0.4
2022.09.15	0.3	-0.1	-0.4
2022.08.17	0.0	-0.7	0.8
2022.07.15	1.0	0.3	-0.3
2022.06.15	-0.3	0.8	0.7
2022.05.17	0.9	-0.5	1.4
2022.04.14	0.5	0.0	0.8
2022.03.16	0.3	0.3	4.9
2022.02.16	3.8	-0.6	-2.5
2022.01.14	-1.9	0.5	0.3
2021.12.15	0.3	0.1	1.8
2021.11.16	1.7	-0.1	0.7
2021.10.15	0.7	-0.1	0.7
2021.09.16	0.7	-0.2	-1.1
2021.08.17	-1.1	0.1	0.7
2021.07.16	0.6	1.1	-1.7
