strategy_id,symbol_count,side_mix,trade_count,avg_return_correlation,max_return_correlation,avg_drawdown_correlation,max_drawdown_correlation,avg_stress_overlap,max_stress_overlap,avg_symbol_overlap,max_symbol_overlap,avg_side_overlap,max_side_overlap,correlation_penalty,marginal_dd_contribution,diversification_score,portfolio_fit_score,cluster_membership
AUDJPY_1_3.14.146_BUY_M15,1,,655,0.029434079538113896,0.3052916704165212,0.07208068488688246,0.4671111049031131,0.07034577647534254,0.15639810426540285,0.0821917808219178,1.0,0.821917808219178,1.0,0.050757382212498175,1.8235320251758935,0.9282561370533801,0.7142192451279488,CLUSTER_01
AUDJPY_2_5.20.109_BUY_M15,1,,664,0.02144477102940914,0.41634189660208326,0.040513974330468265,0.7447445061483391,0.06813413976184088,0.23232323232323232,0.0821917808219178,1.0,0.821917808219178,1.0,0.0309793726799387,4.6835320251758645,0.9327898904854718,0.7166291218439946,CLUSTER_02
AUDJPY_3_3.19_BUY_M15,1,BUY,621,0.03829022253930185,0.99388905180966,0.05961836404445637,0.9986024385573405,0.0779980606143999,0.983739837398374,0.0821917808219178,1.0,0.08904109589041095,1.0,0.048954293291879114,4.658600518326537,0.9209190583243823,0.7106924591881074,CLUSTER_03
AUDJPY_46_3.50.181_BUY_M15,1,,572,0.025904934635006246,0.31010356508204096,-0.010833896225440688,0.6199783363164199,0.07085051862575147,0.15639810426540285,0.0821917808219178,1.0,0.821917808219178,1.0,0.018369415430223468,-0.5004405775638503,0.9296003160545796,0.7147751359984116,CLUSTER_04
AUDJPY_47_6.30.171_BOTH_M15,1,,650,0.01463329479046911,0.2958683550348117,0.03173506308365189,0.5083945626784776,0.06718755801836385,0.1509433962264151,0.0821917808219178,1.0,0.821917808219178,1.0,0.023184178937060502,1.9476416142169768,0.936237916255435,0.7182163402084283,CLUSTER_05
AUDJPY_56_1.14.109_BUY_M15,1,,684,0.030300219804310278,0.3757912074652935,0.09262795939170429,0.533517220593882,0.07211459312498533,0.2708333333333333,0.0821917808219178,1.0,0.821917808219178,1.0,0.06146408959800728,-0.19961865975561466,0.9270850450907849,0.7135325416124048,CLUSTER_06
AUDJPY_78_3.7.108_BUY_M15,1,BUY,622,0.03845355944285316,0.99388905180966,0.05846796367853724,0.9986024385573405,0.07754612921847324,0.983739837398374,0.0821917808219178,1.0,0.08904109589041095,1.0,0.048460761560695204,4.457504627915583,0.9210473225432158,0.7107465365030037,CLUSTER_03
AUDUSD_48_5.8.189_SELL_M15,1,,839,0.0561544450536737,0.38504164599940116,0.0382197319706482,0.5518610121673146,0.08210701887246752,0.23232323232323232,0.0684931506849315,1.0,0.821917808219178,1.0,0.047187088512160955,0.0036690114772284232,0.91571941024896,0.7078598885750539,CLUSTER_07
AUDUSD_4_3.27.109_SELL_M15,1,SELL,513,0.06715418353188742,0.5712910518083508,0.07779237196591231,0.6970220941050201,0.09220250864234021,0.4583333333333333,0.0684931506849315,1.0,0.06164383561643835,1.0,0.07247327774889986,-1.8038652350980584,0.9063437532498106,0.7030816833631505,CLUSTER_08
AUDUSD_5_6.3.178_SELL_M15,1,SELL,640,0.06357335449761262,0.5712910518083508,0.08450617127956551,0.6499301833012513,0.09254577078677201,0.4583333333333333,0.0684931506849315,1.0,0.06164383561643835,1.0,0.07403976288858907,-2.8203035912624728,0.9077826718675185,0.7037503207541961,CLUSTER_08
