Date	ActualValue	ForecastValue	PreviousValue
2026.03.13	6.946	7.116	6.550
2026.02.05	6.542	7.536	6.928
2026.01.07	7.146	7.381	7.449
2025.12.09	7.670	7.378	7.658
2025.12.09	7.658		7.615
2025.09.30	7.227	7.326	7.181
2025.09.03	7.181	7.412	7.357
2025.07.29	7.437	7.441	7.712
2025.07.01	7.769	7.102	7.395
2025.06.03	7.391	7.167	7.200
2025.04.29	7.192	7.476	7.480
2025.04.01	7.568	7.241	7.762
2025.03.11	7.740	7.279	7.508
2025.02.04	7.600	7.603	8.156
2025.01.07	8.098	7.380	7.839
2024.12.03	7.744	7.492	7.372
2024.10.29	7.443	7.688	7.861
2024.10.01	8.040	7.721	7.711
2024.09.04	7.673	7.876	7.910
2024.07.30	8.184	7.979	8.230
2024.07.02	8.140	8.091	7.919
2024.06.04	8.059	8.231	8.355
2024.05.01	8.488	8.351	8.813
2024.04.02	8.756	8.410	8.748
2024.03.06	8.863	8.511	8.889
2024.01.30	9.026	8.658	8.925
2024.01.03	8.790	9.048	8.852
2023.12.05	8.733	9.286	9.350
2023.11.01	9.553	8.977	9.497
2023.10.03	9.610	9.272	8.920
2023.08.29	8.827	9.793	9.165
2023.08.01	9.582	10.063	9.616
2023.07.06	9.824	9.954	10.320
2023.05.31	10.103	9.283	9.745
2023.05.02	9.590	-1.811	9.974
2023.04.04	9.931	0.783	10.563
2023.03.08	10.824	11.174	11.234
2023.02.01	11.012	10.590	10.440
2023.01.04	10.458	10.442	10.512
2022.11.30	10.334	10.349	10.687
2022.11.01	10.717	10.127	10.280
2022.10.04	10.053	10.780	11.170
2022.08.30	11.239	10.646	11.040
2022.08.02	10.698	11.401	11.303
2022.07.06	11.254	11.768	11.681
2022.06.01	11.400	11.768	11.855
2022.05.03	11.549	11.587	11.344
2022.03.29	11.266	11.258	11.283
2022.03.09	11.263	10.673	11.448
2022.02.01	10.925	10.470	10.775
2022.01.04	10.562	10.553	11.091
2021.12.08	11.033	10.155	10.602
2021.11.12	10.438	10.765	10.629
2021.10.12	10.439	11.259	11.098
2021.09.08	10.934	10.410	10.185
2021.08.09	10.073	9.391	9.483
2021.07.07	9.209	8.849	9.193
2021.06.08	9.286	7.838	8.288
2021.05.11	8.123	7.209	7.526
2021.04.06	7.367	6.835	7.099
2021.03.11	6.917	6.633	6.752
2021.02.09	6.646	6.513	6.572
2021.01.12	6.527	6.916	6.632
2020.12.09	6.652	5.533	6.494
2020.11.10	6.436	5.590	6.352
2020.10.06	6.493	5.892	6.697
2020.09.09	6.618	5.177	6.001
2020.08.10	5.889	4.910	5.371
2020.07.07	5.397	5.087	4.996
2020.06.09	5.046	6.769	6.011
2020.05.15	6.191	6.842	7.004
2020.04.07	6.882	6.841	7.012
2020.03.17	6.963	6.961	6.552
2020.02.11	6.423	7.222	6.787
2020.01.17	6.800	7.313	7.361
2019.12.17	7.267	7.111	7.032
2019.11.05	7.024	7.211	7.301
2019.10.09	7.051	7.368	7.174
2019.09.10	7.217	7.429	7.248
2019.08.06	7.348	7.481	7.384
2019.07.09	7.323	7.572	7.372
2019.06.10	7.449	7.394	7.474
2019.05.07	7.488	7.426	7.142
2019.04.09	7.087	7.157	7.625
2019.03.15	7.581	7.038	7.479
2019.02.12	7.335	6.960	7.166
2019.01.08	6.888	6.876	7.131
2018.12.10	7.079	6.784	6.960
2018.11.06	7.009	6.697	7.293
2018.10.16	7.136	6.900	7.077
2018.09.11	6.939	7.064	6.822
2018.08.07	6.662	7.158	6.659
2018.07.10	6.638	6.535	6.840
2018.06.05	6.698	6.360	6.633
2018.05.08	6.550	6.147	6.078
2018.04.13	6.052	6.140	6.228
2018.03.16	6.312	5.902	5.667
2018.02.06	5.811	5.999	5.978
2018.01.09	5.879	6.213	5.925
2017.12.11	5.996	6.239	6.177
2017.11.07	6.093	6.140	6.090
2017.10.11	6.082	5.615	6.140
2017.09.12	6.170	5.963	6.116
2017.08.08	6.163	6.132	5.702
2017.07.11	5.666	6.103	5.967
2017.06.06	6.044	5.813	5.785
2017.05.09	5.743	5.756	5.682
2017.04.11	5.743		5.625
2017.03.16	5.626		5.539
2017.02.07	5.501		5.505
2017.01.10	5.522		5.451
2016.12.07	5.534		5.631
2016.11.08	5.486		5.453
2016.10.12	5.443		5.871
2016.09.07	5.871		5.643
2016.08.10	5.624		5.514
2016.07.12	5.500		5.845
2016.06.08	5.788		5.670
2016.05.10	5.757		5.608
2016.04.05	5.445		5.604
2016.03.17	5.541		5.281
2016.02.09	5.600		5.431
2016.01.12	5.431		5.349
2015.12.08	5.383		5.526
2015.11.12	5.526		5.377
2015.10.16	5.370		5.753
2015.09.09	5.753		5.323
2015.08.12	5.249		5.357
2015.07.07	5.363		5.334
2015.06.09	5.376		5.109
2015.05.12	4.994		5.144
2015.04.07	5.133		4.998
2015.03.10	4.965		5.028
2015.02.10	4.877		4.970
2015.01.13	4.847		4.834
2014.12.09	4.834		4.735
2014.11.13	4.685		4.835
2014.10.07	4.853		4.670
2014.09.09	4.605		4.670
2014.08.12	4.680		4.640
2014.07.08	4.580		4.460
2014.06.10	4.460		4.010
2014.05.09	4.170		4.170
2014.04.08	4.130		3.970
2014.03.11	3.870		3.990
2014.02.11	3.910		4.000
2014.01.17	4.030		3.930
2013.12.10	3.930		
