strategy_id,trade_count,profit_factor,net_profit,robustness_score,portfolio_fit_score,diversification_score,regime_dependency_score,correlation_penalty,recommended_lot_size,max_safe_lot_size,recommended_risk_budget,selection_status,final_score,selection_reason_codes
US500.cash_28_3.8.114_BUY_M15,547,1.1498980666263412,66.91000000000001,0.35,0.733253657243668,0.9663462900519416,0.5012216432575204,0.0235593617074663,1.3,1.4,MEDIUM,SHADOW_ONLY,0.5981374881731301,ROBUSTNESS_TOO_LOW|ROBUSTNESS_FAIL_FLAG|HAS_FORBIDDEN_REGIMES
US500.cash_29_3.32.156_BUY_M15,644,1.9201438848920864,63.95000000000001,1.0,0.7342438482093282,0.9683152884216184,0.5397687060786596,0.0125196506579134,4.9,5.0,VERY_HIGH,APPROVED,0.9116656119297399,HAS_FORBIDDEN_REGIMES
USDCAD_30_2.34.141_BUY_M15,635,1.168786178267348,916.46,0.6000000000000001,0.7065715557498264,0.9129550185711078,0.4733034042381684,0.0522099379288982,0.1,0.2,VERY_LOW,WATCHLIST,0.585177024947093,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDCAD_31_3.2.189_BUY_M15,1719,1.140597165865312,4721.339999999998,1.0,0.7037398611106845,0.9075913005257008,0.5250364459373541,0.0611308614267056,0.1,,,SHADOW_ONLY,0.6956544879123273,NO_SAFE_LOT|RISK_BUDGET_MISSING|HAS_FORBIDDEN_REGIMES
USDCAD_32_4.16.175_BUY_M15,765,1.0569418705710858,495.31000000000006,0.6000000000000001,0.7012923167155087,0.9024784309134314,0.5878089185652079,0.0764045578538408,0.1,0.1,VERY_LOW,WATCHLIST,0.5388966278655247,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDCAD_33_5.11.180_BUY_M15,424,1.2392396648399011,1018.46,1.0,0.7164672601298299,0.9327513177420738,0.4199630729755185,0.0483673405373087,0.3,0.4,LOW,APPROVED,0.7269335202509658,HAS_FORBIDDEN_REGIMES
USDCAD_34_1.8.187_BUY_M15,890,1.0374971241423177,277.06999999999994,0.8,0.7087262748684848,0.9173501691371918,0.7402864233302701,0.0604317180690329,0.1,0.2,VERY_LOW,SHADOW_ONLY,0.5694504698454873,PROFIT_FACTOR_TOO_LOW|REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDCAD_51_6.27.122_BUY_M15,1168,1.1048650854803317,1145.93,0.8,0.7086066635588867,0.91708139857279,0.3895199491716504,0.0660285579367287,0.1,0.2,VERY_LOW,WATCHLIST,0.6320257993344658,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDCAD_77_3.51.113_SELL_M15,580,1.1148236619994365,468.6699999999999,0.8,0.7228296998969188,0.9455062657694024,0.618452171155647,0.0075717385370524,0.3,0.4,LOW,WATCHLIST,0.6234238143185571,REGIME_DEPENDENCY_HIGH|HAS_FORBIDDEN_REGIMES
USDCHF_35_3.1.133_SELL_M15,340,1.0870925061699843,229.73,0.8,0.7261814169393501,0.9522950286213884,0.5688967944748702,0.0529870439126082,0.4,0.5,LOW,WATCHLIST,0.6319894411769206,REGIME_DEPENDENCY_HIGH|HAS_FORBIDDEN_REGIMES
USDCHF_36_4.5.112_SELL_M15,706,1.0552273526212852,468.1699999999999,0.6000000000000001,0.7154890272257344,0.930830180701006,0.5665215835844155,0.0392735156591147,0.1,0.1,VERY_LOW,WATCHLIST,0.5462962047634,REGIME_DEPENDENCY_HIGH|RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
USDCHF_52_3.17.186_BOTH_M15,562,1.299901897892192,1837.28,1.0,0.7244899940709154,0.9490639363091764,0.44992699941325587,0.0239820301196853,0.1,0.2,VERY_LOW,WATCHLIST,0.7254432940045049,RISK_BUDGET_VERY_LOW|HAS_FORBIDDEN_REGIMES
