[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +25 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324\closed_trades.csv
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-12T09:43:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:44:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:45:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:46:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:47:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:48:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:49:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:50:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:51:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:52:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:53:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:54:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:55:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:56:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:57:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:58:26+00:00 | no new closed trades
[LOOP] 2026-03-12T09:59:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:00:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:01:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:02:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:03:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:04:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:05:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:06:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:07:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:08:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:09:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:10:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:11:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:12:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:13:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:14:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:15:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:16:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:17:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:18:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:19:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:20:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:21:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:22:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:23:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:24:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:25:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:26:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:27:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:28:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:29:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:30:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:31:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:32:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:33:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:34:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:35:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:36:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:37:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:38:26+00:00 | no new closed trades
[LOOP] 2026-03-12T10:39:26+00:00 | no new closed trades
