[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324_DEMO
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo | DEMO
[LOOP] 2026-03-21T07:28:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:29:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:30:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:31:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:32:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:33:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:34:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:35:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:36:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:37:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:38:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:39:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:40:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:41:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:42:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:43:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:44:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:45:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:46:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:47:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:48:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:49:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:50:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:51:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:52:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:53:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:54:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:55:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:56:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:57:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:58:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T07:59:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:00:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:01:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:02:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:03:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:04:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:05:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:06:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:07:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:08:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:09:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:10:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:11:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:12:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:13:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:14:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:15:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:16:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:17:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:18:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:19:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:20:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:21:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:22:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:23:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:24:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:25:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:26:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:27:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:28:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:29:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:30:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:31:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:32:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:33:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:34:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:35:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:36:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:37:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:38:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:39:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:40:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:41:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:42:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:43:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:44:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:45:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:46:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:47:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:48:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:49:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:50:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:51:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:52:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:53:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:54:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:55:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:56:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:57:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:58:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T08:59:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:00:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:01:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:02:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:03:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:04:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:05:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:06:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:07:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:08:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:09:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:10:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:11:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:12:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:13:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:14:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:15:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:16:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:17:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:18:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:19:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:20:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:21:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:22:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:23:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:24:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:25:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:26:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:27:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:28:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:29:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:30:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:31:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:32:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:33:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:34:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:35:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:36:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:37:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:38:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:39:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:40:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:41:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:42:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:43:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:44:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:45:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:46:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:47:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:48:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:49:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:50:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:51:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:52:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:53:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:54:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:55:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:56:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:57:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:58:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T09:59:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:00:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:01:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:02:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:03:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:04:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:05:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:06:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:07:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:08:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:09:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:10:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:11:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:12:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:13:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:14:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:15:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:16:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:17:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-21T10:18:56+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
