[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (8) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE
[OK] Connected: 540136824 | FTMO Challenge USD | FTMO-Server4 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_540136824_LIVE | account_type=LIVE | server=FTMO-Server4
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-23T16:50:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:51:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:52:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:53:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:54:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:55:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:56:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:57:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:58:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T16:59:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:00:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:01:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:02:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:03:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:04:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:05:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:06:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:07:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:08:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
[LOOP] 2026-03-23T17:09:35+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server4
