[INFO] terminal64.exe = C:\Users\Leon\Desktop\Terminals\MetaTrader 5 - Kopie - Kopie - Kopie (17) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715324_DEMO
[OK] Connected: 1512715324 | $200k FTMO Free Trial 2-Step | FTMO-Demo | DEMO
[LOOP] 2026-03-23T17:31:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:32:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:33:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:34:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:35:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:36:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:37:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:38:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:39:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:40:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:41:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:42:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:43:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:44:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
[LOOP] 2026-03-23T17:45:34+00:00 | no new closed trades | account_type=DEMO | server=FTMO-Demo
