[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (19) - Kopie - Kopie - Kopie - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_530164208_LIVE
[OK] Connected: 530164208 | FTMO Challenge USD | FTMO-Server3 | LIVE
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_530164208_LIVE | account_type=LIVE | server=FTMO-Server3
[OK] DB rows: 526
[LOOP] 2026-03-20T21:10:34+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-20T21:11:34+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-20T21:12:34+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T06:55:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T06:56:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T06:57:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T06:58:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T06:59:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:00:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:01:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
[LOOP] 2026-03-21T07:02:56+00:00 | no new closed trades | account_type=LIVE | server=FTMO-Server3
