[INFO] terminal64.exe = C:\Users\Leon\Desktop\MetaTrader 5 - Kopie - Kopie - Kopie (16) - Kopie - Kopie - Kopie - Kopie\terminal64.exe
[INFO] ROOT = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO
[INFO] OUTPUT_DIR = C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[OK] Connected: 1512715329 | $200k FTMO Free Trial 2-Step | FTMO-Demo
[CLOSED] +1 -> C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329\closed_trades.db
[OK] Backfill done. Folder: C:\Users\Leon\Desktop\Business_Code\Quant_Structure\FTMO\1.Data_Center\Data\Strategy_Data\Live_Trades_Data\Strategy_Live_Performance\account_1512715329
[INFO] Polling every 60s. Stop with CTRL+C.
[LOOP] 2026-03-18T10:14:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:15:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:16:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:17:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:18:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:19:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:20:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:21:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:22:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:23:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:24:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:25:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:26:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:27:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:28:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:29:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:30:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:31:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:32:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:33:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:34:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:35:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:36:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:37:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:38:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:39:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:40:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:41:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:42:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:43:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:44:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:45:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:46:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:47:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:48:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:49:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:50:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:51:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:52:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:53:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:54:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:55:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:56:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:57:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:58:38+00:00 | no new closed trades
[LOOP] 2026-03-18T10:59:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:00:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:01:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:02:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:03:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:04:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:05:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:06:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:07:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:08:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:09:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:10:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:11:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:12:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:13:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:14:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:15:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:16:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:17:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:18:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:19:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:20:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:21:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:22:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:23:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:24:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:25:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:26:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:27:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:28:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:29:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:30:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:31:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:32:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:33:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:34:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:35:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:36:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:37:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:38:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:39:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:40:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:41:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:42:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:43:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:44:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:45:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:46:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:47:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:48:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:49:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:50:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:51:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:52:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:53:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:54:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:55:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:56:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:57:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:58:38+00:00 | no new closed trades
[LOOP] 2026-03-18T11:59:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:00:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:01:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:02:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:03:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:04:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:05:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:06:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:07:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:08:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:09:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:10:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:11:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:12:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:13:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:14:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:15:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:16:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:17:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:18:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:19:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:20:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:21:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:22:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:23:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:24:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:25:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:26:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:27:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:28:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:29:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:30:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:31:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:32:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:33:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:34:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:35:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:36:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:37:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:38:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:39:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:40:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:41:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:42:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:43:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:44:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:45:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:46:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:47:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:48:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:49:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:50:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:51:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:52:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:53:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:54:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:55:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:56:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:57:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:58:38+00:00 | no new closed trades
[LOOP] 2026-03-18T12:59:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:00:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:01:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:02:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:03:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:04:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:05:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:06:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:07:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:08:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:09:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:10:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:11:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:12:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:13:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:14:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:15:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:16:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:17:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:18:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:19:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:20:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:21:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:22:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:23:38+00:00 | no new closed trades
[LOOP] 2026-03-18T13:24:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:25:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:26:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:27:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:28:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:29:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:30:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:31:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:32:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:33:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:34:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:35:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:36:39+00:00 | no new closed trades
[LOOP] 2026-03-18T13:37:39+00:00 | no new closed trades
