strategy_id,trade_count,is_trade_count,oos_trade_count,pf_is,pf_oos,oos_pf_decay,expectancy_is,expectancy_oos,oos_expectancy_decay,mc_max_dd_p50,mc_max_dd_p95,mc_terminal_p05,mc_terminal_p50,mc_terminal_p95,bootstrap_pf_p05,bootstrap_pf_p50,bootstrap_pf_p95,outlier_dependency_top_1,outlier_dependency_top_5,outlier_dependency_top_10,flag_oos_pf_decay_bad,flag_oos_expectancy_decay_bad,flag_mc_drawdown_bad,flag_bootstrap_pf_bad,flag_outlier_dependency_bad,pass_fail_flags,robustness_score,pass_flag
AUDJPY_1_3.14.146_BUY_M15,655,430,225,1.1336144566380095,0.9757045529577721,-0.13929771515842782,1.2549069767441863,-0.21586666666666662,-1.1720180624278027,-435.70000000001164,-292.6590000000056,100491.04,100491.04,100491.04,0.945026235881343,1.0847004451061166,1.2414088409229458,0.006837460214375209,0.03406017087523779,0.06753217312988417,False,True,False,True,False,OOS_EXPECTANCY_DECAY_BAD|BOOTSTRAP_PF_BAD,0.6000000000000001,True
AUDJPY_2_5.20.109_BUY_M15,664,414,250,1.231925003736301,1.221885693785186,-0.008149286621074106,2.7363285024154598,2.57288,-0.05973277779739443,-488.04500000000553,-338.9079999999973,101776.06,101776.06,101776.06,1.0341629354162292,1.2260786855003682,1.4385719693423853,0.016522917113432255,0.05792069627436724,0.09580572104043641,False,False,False,False,False,PASS,1.0,True
AUDJPY_3_3.19_BUY_M15,621,373,248,1.4900904601929204,1.1187036969453665,-0.2492377296338578,4.8614477211796245,1.3115322580645157,-0.7302177595470936,-404.11499999999796,-281.9765,102138.58,102138.58,102138.58,1.1281629708568741,1.3332172449565347,1.5754789278510588,0.006793609717146638,0.03364515395779056,0.06618990167450589,False,True,False,False,False,OOS_EXPECTANCY_DECAY_BAD,0.8,True
AUDJPY_46_3.50.181_BUY_M15,572,376,196,1.1157956433062093,1.4003557338203785,0.2550288596494161,1.1717287234042557,3.4222448979591835,1.9206802134340801,-337.7900000000009,-237.98500000000496,101111.33,101111.33,101111.33,1.034463766187919,1.21260252898625,1.4026494092111494,0.013288406513883116,0.04509471346257127,0.0798715307382583,False,False,False,False,False,PASS,1.0,True
AUDJPY_47_6.30.171_BOTH_M15,650,405,245,1.2001131381699899,1.1363114502607958,-0.05316306094813943,1.7119753086419756,1.1242857142857148,-0.3432815832037003,-317.4599999999991,-217.84900000000562,100968.8,100968.8,100968.8,1.0253826837702436,1.1774589472503216,1.3523022523709785,0.005901464598184475,0.02221454434464925,0.04242888107673454,False,False,False,False,False,PASS,1.0,True
AUDJPY_56_1.14.109_BUY_M15,684,434,250,1.294488042001922,1.199131361140703,-0.07366362435743333,3.417119815668203,2.2356,-0.34576481932260317,-470.3249999999971,-331.1880000000019,102041.93,102041.93000000001,102041.93000000001,1.075643967513332,1.2642848157701276,1.4618071793445468,0.008756062473064105,0.0375878388358433,0.07039246988744084,False,False,False,False,False,PASS,1.0,True
AUDJPY_78_3.7.108_BUY_M15,622,370,252,1.485760695356989,1.1438055639335312,-0.23015491827995566,4.857567567567567,1.5893253968253964,-0.6728145569324004,-403.51000000000204,-282.5610000000001,102197.81,102197.81,102197.81,1.1185292459520748,1.346031110796969,1.5904447392547878,0.0067120741322559616,0.03324135135197388,0.0653955033249413,False,True,False,False,False,OOS_EXPECTANCY_DECAY_BAD,0.8,True
AUDUSD_48_5.8.189_SELL_M15,839,535,304,1.194855606741698,1.1860886277118676,-0.007337270696446253,1.959140186915888,1.6562499999999998,-0.15460363119430628,-486.09999999999854,-333.06999999999175,101551.64,101551.64,101551.64,1.041742636469727,1.2014159250779635,1.3775307105045378,0.0019716906728653853,0.009858453364326928,0.019716906728653855,False,False,False,False,False,PASS,1.0,True
AUDUSD_4_3.27.109_SELL_M15,513,335,178,1.34643755523829,1.0080753701211305,-0.251301802895179,3.65068656716418,0.08426966292134831,-0.9769167630879886,-424.83000000000175,-288.76999999999475,101237.98,101237.98,101237.98,1.023829580587595,1.2250853556227252,1.47336189800957,0.01304024969663308,0.04748220549260147,0.08501820201520154,False,True,False,False,False,OOS_EXPECTANCY_DECAY_BAD,0.8,True
AUDUSD_5_6.3.178_SELL_M15,640,413,227,1.1505362107771746,0.9673600129749017,-0.15920941565023788,1.5967554479418886,-0.35462555066079293,-1.2220913359762646,-549.4000000000015,-367.9259999999991,100578.96,100578.96,100578.96,0.922153518798044,1.0832739649269372,1.2738149707165372,0.0032318879612173446,0.016159439806086723,0.032318879612173446,False,True,False,True,False,OOS_EXPECTANCY_DECAY_BAD|BOOTSTRAP_PF_BAD,0.6000000000000001,True
